X,Y,HTF_threshold,SLR,TR,Slope_GEBCO_West,Elevation
-124.2462089,40.74055979,0.579,4.28968254,1.99326,0.6410741,7
-124.2462089,40.80055979,0.579,4.28968254,2.0102,0.3349954,-32
-124.217,40.7667,0.448056,4.28968254,2.08998,0.6602351,-10
-124.1862089,40.74055979,0.448056,4.28968254,2.071,0.4038017,1
-124.1862089,40.80055979,0.448056,4.28968254,2.1615,0.6573237,-8
-124.1862089,41.70055979,0.42672,1.923104057,2.08159,0.2233317,-28
-124.1862089,41.76055979,0.42672,1.923104057,2.053,0.5583144,4
-124.183,41.745,0.42672,1.923104057,2.09486,0.6602351,-5
-124.1262089,46.92055979,0.381,1.130952381,2.73123,0.0218996,-9
-124.10508,46.90431,0.381,1.130952381,2.78908,0.4727364,-3
-124.0662089,44.64055979,0.451104,1.57627866,2.47699,1.5327617,-1
-124.043,44.625,0.451104,1.417548501,2.54241,0.5527034,-6
-123.96692,46.70747,0.475982751,0.261904762,2.72012,0.5260313,3
-123.9462089,45.54055979,0.460248,1.424603175,2.38808,1.0950649,33
-123.9462089,46.68055979,0.475982751,0.214285714,2.73769,0.1579198,5
-123.9462089,46.74055979,0.475982751,0.472222222,2.536,2.0040414,74
-123.91894,45.55453,0.460248,1.484126984,2.5196,4.3213196,-14
-123.8862089,45.54055979,0.460248,1.484126984,2.472,4.8913407,74
-123.76831,46.20731,0.467825816,0.376984127,2.62476,2.1665833,-5
-123.7662089,46.20055979,0.467825816,0.388888889,2.63569,1.6058809,-9
-123.708,38.9133,0.566928,2.093547685,1.78543,2.0415583,39
-123.7062089,38.88055979,0.566928,2.093547685,1.76513,1.1386286,-46
-123.7062089,38.94055979,0.566928,2.089579431,1.796,0.9210059,4
-123.7062089,46.20055979,0.467825816,0.384920635,2.637,0.2563264,-9
-123.4662089,46.26055979,0.454152,0.150793651,2.30181,0.3427787,-11
-123.4662089,48.12055979,0.414528,0.853174603,2.679,0.8980765,82
-123.452,46.2667,0.454152,0.150793651,2.29415,3.7831211,3
-123.44,48.125,0.414528,0.853174603,2.15293,2.1541753,-18
-123.4062089,46.14055979,0.566928,0.166666667,1.921,5.9407783,51
-123.4062089,46.20055979,0.454152,0.154761905,2.22879,0.8078601,-2
-123.4062089,46.26055979,0.454152,0.150793651,2.294,4.0447502,56
-123.4062089,48.12055979,0.414528,0.853174603,2.15738,1.937591,-7
-123.405,46.16,0.566928,0.154761905,2.11713,0.3462586,-17
-122.9862089,46.08055979,0.347472,1.043650794,1.284,2.8883791,177
-122.9862089,46.14055979,0.347472,0.777777778,1.485,0.2496921,1
-122.95417,46.10611,0.347472,0.888888889,1.37674,0.339969,-22
-122.9262089,46.08055979,0.347472,0.944444444,1.284,4.9477158,51
-122.9262089,46.14055979,0.347472,0.853174603,1.485,0.0218996,7
-122.8062089,45.84055979,0.445008,1.76984127,0.99699,0.2189948,3
-122.8062089,45.90055979,0.445008,1.757936508,1.02576,0.4183836,-13
-122.8062089,48.12055979,0.539496,0.757936508,2.384,1.2209013,76
-122.8062089,48.84055979,0.697992,-0.119047619,2.72085,0.4252052,-65
-122.797,45.865,0.445008,1.757936508,0.9957,1.2789934,0
-122.758,48.1117,0.539496,1.25,2.5958,1.7931763,-13
-122.758,48.8633,0.697992,-0.126984127,2.78804,3.2270508,-9
-122.7462089,45.84055979,0.445008,2.329365079,0.978,2.4337258,28
-122.7462089,48.12055979,0.539496,1.273809524,2.56329,1.8112481,-12
-122.7462089,48.84055979,0.697992,-0.079365079,2.77221,0.1858235,-24
-122.7462089,48.90055979,0.697992,-0.079365079,2.82,0.4847564,15
-122.697,45.6317,0.408432,1.666666667,0.97485,0.3097039,-14
-122.6862089,45.60055979,0.408432,1.662698413,0.951,0.2646118,-5
-122.6862089,45.66055979,0.408432,1.912698413,0.969,2.3381674,57
-122.5062089,37.80055979,0.353568,2.801587302,1.7571,0.4401676,-46
-122.465,37.80669,0.353568,2.80952381,1.78253,3.0041935,-5
-122.4462089,37.80055979,0.353568,2.797288361,1.81967,1.8586214,-1
-122.4462089,47.28055979,0.463296,1.511904762,3.58644,0.8802832,-129
-122.41333,47.26667,0.463296,1.511904762,3.5891,0.1548531,-16
-122.3862089,47.28055979,0.463296,1.511904762,3.59262,6.8316588,53
-122.3862089,47.58055979,0.463296,1.496031746,3.467,1.4728196,67
-122.33931,47.60264,0.606552,1.507936508,3.46231,4.389286,-31
-121.8462089,36.72055979,0.221,2.105539556,1.612,0.2553892,-48
-121.8462089,36.78055979,0.221,2.165063365,1.60609,3.7563686,-69
-121.8061,36.75,0.221,2.169031619,1.6076,0.5408638,1
-121.7862089,36.72055979,0.221,2.10950781,1.612,0.549222,20
-121.7862089,36.78055979,0.221,2.169031619,1.604,0.1332098,2
-120.7662089,35.16055979,0.5334,2.06059783,1.62036,7.1225061,8
-120.7662089,35.22055979,0.5334,2.06059783,1.612,2.2192957,420
-120.76,35.1767,0.5334,2.06059783,1.617,5.1361408,102
-120.7062089,34.44055979,0.603504,2.466989195,1.59037,2.1297033,-427
-120.7062089,34.50055979,0.603504,2.466989195,1.59748,1.4399172,-118
-120.673,34.4683,0.603504,2.466989195,1.59693,3.2185299,-175
-120.6462089,34.44055979,0.603504,2.466989195,1.59516,2.7038088,-255
-120.6462089,34.50055979,0.603504,2.461830465,1.60268,0.3462586,-91
-119.6862089,34.38055979,0.545592,2.468253968,1.6409,1.3067952,-36
-119.6862089,34.44055979,0.545592,2.444444444,1.616,6.608676,197
-119.685,34.4083,0.545592,2.444444444,1.64643,0.5205329,-5
-118.5462089,34.02055979,0.551688,1.984126984,1.6512,0.3917456,-20
-118.5,34.0083,0.551688,1.984126984,1.653,0.5697914,-10
-118.4862089,34.02055979,0.551688,1.984126984,1.643,0.631655,34
-118.3062089,33.72055979,0.554736,2.043189005,1.649,3.5118263,88
-118.272,33.72,0.554736,2.043189005,1.674,1.2060895,-12
-118.2462089,33.72055979,0.554736,2.039220751,1.67542,0.2286372,-13
-117.2862089,32.88055979,0.54864,2.837301587,1.6237,7.9584312,-287
-117.258,32.8667,0.54864,2.833333333,1.6243,6.4653773,-32
-117.2262089,32.88055979,0.54864,2.837301587,1.624,0.3917456,101
-117.174,32.71419,0.445008,2.837301587,1.74479,1.5964556,-16
-117.1662089,32.70055979,0.445008,2.833333333,1.7643,0.3824542,-20
-97.48620893,27.84055979,0.515118264,4.833333333,0.19881,0.407349,-12
-97.48594,27.83275,0.515118264,4.833333333,0.20183,0.5223721,-4
-97.42620893,27.30055979,0.61,4.805357143,0,0.0656987,-1
-97.42620893,27.84055979,0.527358449,4.742857143,0.18514,0.3255573,-15
-97.40517,27.297,0.61,4.805357143,0,0,-1
-97.3891983,27.81489944,0.527358449,4.742857143,0.19211,0.7279368,-12
-97.389167,27.815,0.6096,4.742857143,0.19217,0.7279368,-12
-97.36620893,27.30055979,0.61,4.805357143,0,0.2358644,3
-97.36620893,27.48055979,0.754503048,4.824404762,0,0.0309707,8
-97.36620893,27.78055979,0.527358449,4.742857143,0.1898,0.048969,-4
-97.36620893,27.84055979,0.527358449,4.742857143,0.20502,0.048969,-2
-97.31811,27.48436,0.754503048,4.824404762,0,0.0875983,-1
-97.30620893,27.48055979,0.754503048,4.824404762,0,0.2077568,1
-97.24620893,26.04055979,0.343,4.748214286,0.438,0.2156849,1
-97.24620893,27.60055979,0.564646672,4.87202381,0.06467,0.0692525,4
-97.24620893,27.66055979,0.564646672,4.87202381,0.16575,0.1385049,-4
-97.2367,27.6333,0.564646672,4.87202381,0.11443,0.2855333,3
-97.2167,27.58,0.405244818,4.87202381,0.497,0.4091111,-1
-97.215,26.06,0.4572,4.77202381,0.418,0.1332098,5
-97.18620893,26.04055979,0.627888,4.75297619,0.30946,0.1548531,-24
-97.18620893,26.10055979,0.381,4.767261905,0.2813,0.1332098,-28
-97.18620893,27.60055979,0.405244818,4.876785714,0.49958,0.1116663,-11
-97.1767,26.0767,0.381,4.776785714,0.4,0.1765596,-20
-97.1548,26.0675,0.381,4.77202381,0.4669,0.9627443,-17
-97.12620893,26.04055979,0.383004633,4.77202381,0.4955,0.1858235,-12
-97.12620893,26.10055979,0.383004633,4.776190476,0.4984,0.1094978,-15
-97.0733,27.8383,0.393192,4.867261905,0.29966,0.4619623,-15
-97.06620893,27.84055979,0.393192,4.933928571,0.32584,1.4556386,-14
-97.06620893,28.02055979,0.393192,5.376785714,0.112,0.1579198,9
-97.0466667,28.0216667,0.393192,5.661904762,0.11101,0.5514005,-1
-97.0391,27.8366,0.27432,5.333928571,0.49016,0.180588,-19
-97.00620893,27.84055979,0.27432,5.333928571,0.50573,0.048969,-12
-97.00620893,28.02055979,0.554742746,5.661904762,0.11727,0.0218996,-3
-96.82620893,28.20055979,0.33528,5.980952381,0.10051,0.2496921,4
-96.82620893,28.26055979,0.33528,5.838095238,0.116,0.0218996,8
-96.795,28.2283,0.33528,5.828571429,0.12526,0.2637041,5
-96.76620893,28.20055979,0.33528,5.980952381,0.11268,0.048969,-2
-96.76620893,28.26055979,0.33528,5.838095238,0.11662,0,-2
-96.7117,28.4083,0.4572,7.095238095,0.11702,0.4026124,3
-96.70620893,28.38055979,0.4572,7.095238095,0.119,0.2646118,-1
-96.70620893,28.44055979,0.4572,7.095238095,0.125,0,6
-96.595,28.64,0.82296,7.142857143,0.283,0,-2
-96.58620893,28.62055979,0.82296,7.142857143,0.2822,0,-2
-96.58620893,28.68055979,0.82296,7.142857143,0.29186,0,-1
-96.40620893,28.44055979,0.82296,7.142857143,0.23194,0.1094978,1
-96.38833,28.45167,0.82296,7.142857143,0.23904,0.0656987,-4
-96.34620893,28.44055979,0.82296,7.142857143,0.24708,0.2673166,-6
-96.3301,28.4269,0.82296,7.142857143,0.53302,0.6228638,-26
-96.28620893,28.44055979,0.82296,7.142857143,0.51693,0.1094978,-8
-95.92620893,28.68055979,0.82296,7.152380952,0,0.0218996,-1
-95.92620893,28.74055979,0.82296,7.152380952,0.145,0.0437992,4
-95.9139,28.71,0.82296,7.152380952,0,0.0656987,2
-95.62620893,28.74055979,0.82296,7.466666667,0.49831,0.0902942,-7
-95.62620893,28.80055979,0.82296,7.514285714,0.129,0,3
-95.6168,28.77164,0.82296,7.514285714,0.14758,0.0218996,2
-95.32620893,28.92055979,0.82296,8.885714286,0.52919,0.4737497,8
-95.295,28.935,0.82296,8.885714286,0.5381,0.4252052,-1
-95.2942,28.93569,0.82296,8.885714286,0.53806,0.4252052,-1
-95.26620893,28.92055979,0.67231919,8.885714286,0.53669,0.048969,-9
-95.26620893,29.70055979,0.67056,7.157142857,0.49,0.2167938,8
-95.26620893,29.76055979,0.67056,7.157142857,0.447,0.1276952,14
-95.2658,29.72628,0.67056,7.157142857,0.50061,0.07896,4
-95.14620893,29.10055979,0.67056,8.80952381,0.27903,0.2019034,-1
-95.1133,29.095,0.67056,8.80952381,0.31405,0.1710407,2
-95.08620893,29.10055979,0.67056,8.80952381,0.56488,0.1765596,-4
-95.02620893,29.70055979,0.747480858,7.071428571,0.41976,0.4212394,5
-94.985,29.6817,0.6096,7.071428571,0.39982,0.4379832,6
-94.96620893,29.64055979,0.747480858,7.071428571,0.38062,0.1332098,-1
-94.96620893,29.70055979,0.747480858,7.071428571,0.39751,0.7934883,9
-94.9183,29.48,0.67056,7.252380952,0.335,0.4166607,6
-94.90620893,29.28055979,0.6096,7.723809524,0.34287,0.0656987,-2
-94.90620893,29.34055979,0.6096,7.723809524,0.37864,0.2496921,5
-94.90620893,29.46055979,0.861,7.252380952,0.32745,0,-2
-94.90620893,29.52055979,0.861,7.166666667,0.34271,0.0656987,-2
-94.8971,29.30258,0.6096,7.723809524,0.36499,0.2846923,-1
-94.7933,29.31,0.606552,7.723809524,0.42882,1.6148059,-9
-94.78620893,29.28055979,0.606552,7.723809524,0.61818,0.1871095,-5
-94.78620893,29.34055979,0.606552,7.723809524,0.40606,1.0124989,-11
-94.72620893,29.34055979,0.6096,7.680952381,0.50779,1.1272048,-13
-94.72620893,29.40055979,0.555646672,7.180952381,0.372,0.0309707,2
-94.7248,29.35733,0.6096,7.180952381,0.51689,0.3729312,-6
-94.54620893,29.52055979,0.658376006,6.961904762,0.38878,0.0656987,2
-94.5133,29.515,0.649224,6.938095238,0.40762,0.048969,2
-94.48620893,29.52055979,0.658376006,6.938095238,0.36736,0.092912,3
-94.42620893,29.58055979,0.884,6.957142857,0.387,0.048969,1
-94.3903,29.59472,0.618744,6.957142857,0.33537,0.0309707,3
-94.36620893,29.58055979,0.884,6.957142857,0.387,0.0309707,2
-93.88620893,29.70055979,0.731,6.876190476,0.566,0.0218996,3
-93.88620893,29.76055979,0.731,6.842857143,0.4007,0.9336721,1
-93.88620893,29.94055979,0.6096,6.866666667,0.305,0.3510727,5
-93.88620893,30.00055979,0.6096,6.852380952,0.322,0.0437992,1
-93.8817,29.98,0.6096,6.852380952,0.284,0.1094978,1
-93.8701,29.7284,0.603504,6.842857143,0.48708,0.8228552,-8
-93.84192,29.68939,0.630936,6.723809524,0.61459,0.6510935,-9
