X,Y,HTF_threshold,SLR,TR,Slope_GEBCO_West,Elevation
-97.48620893,27.84055979,0.515118264,4.833333333333333,0.19881,0.407349,-12
-97.48594,27.83275,0.515118264,4.833333333333333,0.20183,0.5223721,-4
-97.42620893,27.30055979,0.61,4.805357142857142,0.0,0.0656987,-1
-97.42620893,27.84055979,0.527358449,4.742857142857143,0.18514,0.3255573,-15
-97.40517,27.297,0.61,4.805357142857142,0.0,0.0,-1
-97.3891983,27.81489944,0.527358449,4.742857142857143,0.19211,0.7279368,-12
-97.389167,27.815,0.6096,4.742857142857143,0.19217,0.7279368,-12
-97.36620893,27.30055979,0.61,4.805357142857142,0.0,0.2358644,3
-97.36620893,27.48055979,0.754503048,4.824404761904762,0.0,0.0309707,8
-97.36620893,27.78055979,0.527358449,4.742857142857143,0.1898,0.048969,-4
-97.36620893,27.84055979,0.527358449,4.742857142857143,0.20502,0.048969,-2
-97.31811,27.48436,0.754503048,4.824404761904762,0.0,0.0875983,-1
-97.30620893,27.48055979,0.754503048,4.824404761904762,0.0,0.2077568,1
-97.24620893,26.04055979,0.343,4.748214285714285,0.438,0.2156849,1
-97.24620893,27.60055979,0.564646672,4.87202380952381,0.06467,0.0692525,4
-97.24620893,27.66055979,0.564646672,4.87202380952381,0.16575,0.1385049,-4
-97.2367,27.6333,0.564646672,4.87202380952381,0.11443,0.2855333,3
-97.2167,27.58,0.405244818,4.87202380952381,0.497,0.4091111,-1
-97.215,26.06,0.4572,4.77202380952381,0.418,0.1332098,5
-97.18620893,26.04055979,0.627888,4.75297619047619,0.30946,0.1548531,-24
-97.18620893,26.10055979,0.381,4.767261904761904,0.2813,0.1332098,-28
-97.18620893,27.60055979,0.405244818,4.876785714285714,0.49958,0.1116663,-11
-97.1767,26.0767,0.381,4.776785714285714,0.4,0.1765596,-20
-97.1548,26.0675,0.381,4.77202380952381,0.4669,0.9627443,-17
-97.12620893,26.04055979,0.383004633,4.77202380952381,0.4955,0.1858235,-12
-97.12620893,26.10055979,0.383004633,4.776190476190475,0.4984,0.1094978,-15
-97.0733,27.8383,0.393192,4.8672619047619055,0.29966,0.4619623,-15
-97.06620893,27.84055979,0.393192,4.933928571428571,0.32584,1.4556386,-14
-97.06620893,28.02055979,0.393192,5.376785714285714,0.112,0.1579198,9
-97.0466667,28.0216667,0.393192,5.661904761904762,0.11101,0.5514005,-1
-97.0391,27.8366,0.27432,5.333928571428571,0.49016,0.180588,-19
-97.00620893,27.84055979,0.27432,5.333928571428571,0.50573,0.048969,-12
-97.00620893,28.02055979,0.554742746,5.661904761904762,0.11727,0.0218996,-3
-96.82620893,28.20055979,0.33528,5.980952380952381,0.10051,0.2496921,4
-96.82620893,28.26055979,0.33528,5.838095238095239,0.116,0.0218996,8
-96.795,28.2283,0.33528,5.828571428571427,0.12526,0.2637041,5
-96.76620893,28.20055979,0.33528,5.980952380952381,0.11268,0.048969,-2
-96.76620893,28.26055979,0.33528,5.838095238095239,0.11662,0.0,-2
-96.7117,28.4083,0.4572,7.095238095238095,0.11702,0.4026124,3
-96.70620893,28.38055979,0.4572,7.095238095238095,0.119,0.2646118,-1
-96.70620893,28.44055979,0.4572,7.095238095238095,0.125,0.0,6
-96.595,28.64,0.82296,7.142857142857142,0.283,0.0,-2
-96.58620893,28.62055979,0.82296,7.142857142857142,0.2822,0.0,-2
-96.58620893,28.68055979,0.82296,7.142857142857142,0.29186,0.0,-1
-96.40620893,28.44055979,0.82296,7.142857142857142,0.23194,0.1094978,1
-96.38833,28.45167,0.82296,7.142857142857142,0.23904,0.0656987,-4
-96.34620893,28.44055979,0.82296,7.142857142857142,0.24708,0.2673166,-6
-96.3301,28.4269,0.82296,7.142857142857142,0.53302,0.6228638,-26
-96.28620893,28.44055979,0.82296,7.142857142857142,0.51693,0.1094978,-8
-95.92620893,28.68055979,0.82296,7.152380952380952,0.0,0.0218996,-1
-95.92620893,28.74055979,0.82296,7.152380952380952,0.145,0.0437992,4
-95.9139,28.71,0.82296,7.152380952380952,0.0,0.0656987,2
-95.62620893,28.74055979,0.82296,7.466666666666667,0.49831,0.0902942,-7
-95.62620893,28.80055979,0.82296,7.514285714285713,0.129,0.0,3
-95.6168,28.77164,0.82296,7.514285714285713,0.14758,0.0218996,2
-95.32620893,28.92055979,0.82296,8.885714285714286,0.52919,0.4737497,8
-95.295,28.935,0.82296,8.885714285714286,0.5381,0.4252052,-1
-95.2942,28.93569,0.82296,8.885714285714286,0.53806,0.4252052,-1
-95.26620893,28.92055979,0.67231919,8.885714285714286,0.53669,0.048969,-9
-95.26620893,29.70055979,0.67056,7.157142857142857,0.49,0.2167938,8
-95.26620893,29.76055979,0.67056,7.157142857142857,0.447,0.1276952,14
-95.2658,29.72628,0.67056,7.157142857142857,0.50061,0.07896,4
-95.14620893,29.10055979,0.67056,8.809523809523808,0.27903,0.2019034,-1
-95.1133,29.095,0.67056,8.809523809523808,0.31405,0.1710407,2
-95.08620893,29.10055979,0.67056,8.809523809523808,0.56488,0.1765596,-4
-95.02620893,29.70055979,0.747480858,7.071428571428571,0.41976,0.4212394,5
-94.985,29.6817,0.6096,7.071428571428571,0.39982,0.4379832,6
-94.96620893,29.64055979,0.747480858,7.071428571428571,0.38062,0.1332098,-1
-94.96620893,29.70055979,0.747480858,7.071428571428571,0.39751,0.7934883,9
