X,Y,HTF_threshold,SLR,TR,Slope_GEBCO_West,Elevation
-77.98620893,34.20055979,0.25,9.787698413,1.453,0.1765596,-1
-77.98620893,34.26055979,0.25,9.824404762,1.357,0.1667818,0
-73.66620893,40.62055979,0.29406,10.50581244,1.54634,0.048969,-2
-73.656111,40.608889,0.29406,10.51176482,1.53474,0.1332098,0
-73.60620893,40.62055979,0.29406,10.49688386,1.44479,0.0656987,-2
-74.62620893,39.30055979,0.3061,10.91977347,1.33202,0.0656987,-1
-74.575556,39.285833,0.3061,10.91977347,1.30934,0.3729312,-2
-74.56620893,39.30055979,0.3061,10.91679728,1.32632,0.1094978,-4
-74.08620893,39.72055979,0.30968,10.3247383,1.18283,0.0692525,-10
-74.08620893,39.78055979,0.30968,10.31580973,1.24982,0.2708809,-8
-77.02620893,38.88055979,0.315,9.979166667,0.9769,0.9403237,4
-77.02167,38.87333,0.315,9.979166667,0.97699,0.2846923,-7
-76.96620893,38.88055979,0.315,9.979166667,0.99653,1.2419194,10
-74.08620893,40.02055979,0.32474,10.61045259,0.207,0.1751961,2
-74.054444,40.040556,0.32474,10.61342878,0.19342,0.1579198,-1
-74.02620893,40.02055979,0.32474,10.31283354,1.3729,0.0979378,-19
-75.068056,38.609722,0.34006,10.71982759,0.9401,0.048969,1
-75.04620893,38.58055979,0.34006,10.73470854,1.22382,0.1179327,-8
-75.04620893,38.64055979,0.34006,10.73470854,1.25297,0.0309707,-9
-73.737778,40.593056,0.3439,10.44628863,1.4849,0.1958751,-8
-73.72620893,40.56055979,0.3439,10.44628863,1.48806,0.1179327,-13
-73.72620893,40.62055979,0.3439,10.44628863,1.888,0.0979378,10
-77.80620893,34.20055979,0.344424,10.04166667,1.38593,0.2019034,-2
-77.7867,34.2133,0.344424,10.04166667,1.31098,0.2921744,-2
-77.74620893,34.20055979,0.344424,10.00297619,1.36885,0.1094978,-15
-78.94620893,33.66055979,0.35052,9.869047619,1.706,0.0656987,1
-78.9183,33.655,0.35052,9.869047619,1.70697,0.0309707,-10
-78.88620893,33.66055979,0.35052,9.869047619,1.69716,0.0218996,-8
-76.48620893,39.00055979,0.351,10.13424185,0.45088,2.1115308,-3
-76.36620893,36.96055979,0.36576,11.21428571,0.87478,0.1332098,-6
-76.33,36.94667,0.36576,11.17857143,0.85374,1.287397,-17
-74.08620893,39.96055979,0.3667,10.61045259,0.23233,0.1313973,-1
-76.54620893,38.16055979,0.369,10.72619048,0.56682,0.5583144,-1
-76.5,38.138333,0.369,10.69376566,0.5455,0.3624978,3
-76.48620893,38.10055979,0.369,10.71757519,0.5273,0.482277,-15
-76.48620893,38.16055979,0.369,10.75892857,0.548,0.0437992,11
-79.925,32.7817,0.377,10.04464286,1.75828,1.3513283,-1
-79.90620893,32.76055979,0.377,10.04464286,1.74249,0.1313973,-7
-79.90620893,32.82055979,0.377,10.04464286,1.80291,0.9694435,-29
-77.9533,34.2267,0.381,9.787698413,1.42798,0.5981217,1
-77.92620893,34.20055979,0.381,9.790674603,1.449,0.4131934,8
-77.92620893,34.26055979,0.381,9.78422619,1.357,0.0437992,2
-74.98620893,38.94055979,0.382,10.8716133,1.62803,0.0656987,-10
-74.98620893,39.00055979,0.382,10.86863711,1.74319,0,-7
-75.078528,38.690194,0.38953,10.73173235,0.61631,0.3510727,3
-75.04620893,38.70055979,0.38953,10.73470854,1.2926,0.048969,-12
-75.04620893,39.24055979,0.38958,10.80370205,1.927,0.3135512,2
-75.033056,39.231667,0.38958,10.81263062,1.9269,0.0437992,1
-74.98620893,39.24055979,0.38958,10.86917824,1.333,0.092912,8
-74.08620893,40.08055979,0.39078,10.58844444,0.1711,0.3644768,5
-74.08620893,40.14055979,0.39078,10.55570634,1.428,0.240894,36
-74.044722,40.111667,0.39078,10.29200021,1.34658,0.0875983,3
-74.02620893,40.08055979,0.39078,10.29200021,1.39779,0.2855333,-13
-74.02620893,40.14055979,0.39078,10.29200021,1.428,0.698696,7
-74.02620893,40.38055979,0.40121,10.35258134,1.19171,3.4176767,0
-73.974722,40.365556,0.40121,10.35524425,1.18375,0.2637041,4
-73.96620893,40.38055979,0.40121,10.26893473,1.5049,0.4206698,-9
-76.54620893,39.24055979,0.409,10,0.5122,0.1548531,-9
-76.54620893,39.30055979,0.409,9.970238095,0.531,0.6660199,27
-75.88620893,37.98055979,0.41,10.94940476,0.65576,0.0619414,0
-75.8636,37.9783,0.41,10.94940476,0.65634,0.1276952,2
-75.82620893,37.98055979,0.41,10.92857143,0.661,0.339969,4
-75.10620893,38.76055979,0.411,10.69899425,1.352,0.0218996,-1
-75.10620893,38.82055979,0.411,10.70494663,1.44141,0.2189948,-10
-74.02620893,40.20055979,0.41143,10.26075021,1.455,0.1667818,7
-74.026111,40.185556,0.41143,10.26075021,1.38689,0.1116663,5
-75.52620893,39.54055979,0.415,10.08630952,1.86924,0.2019034,1
-74.80620893,39.06055979,0.41633,10.85970854,1.45928,0.305023,-3
-74.765833,39.056944,0.41633,10.85970854,1.44295,0.278734,3
-74.74620893,39.06055979,0.41633,10.86566092,1.40261,0.5292124,-1
-70.84620893,42.90055979,0.43388,9.047619048,2.909,0.3722877,2
-70.818611,42.900278,0.43388,9.047619048,2.91892,0.3880557,3
-70.78620893,42.90055979,0.43388,9.047619048,2.90654,0.5368593,-17
-70.12620893,41.28055979,0.434,10.45833333,1.105,0.2496921,7
-70.0967,41.285,0.434,10.45833333,1.09,0.9637397,-4
-70.06620893,41.28055979,0.434,10.45833333,1.154,0.1958751,12
-75.94620893,37.44055979,0.436,10.93452381,0.6886,0.0902942,4
-75.94620893,37.50055979,0.436,10.92857143,0.604,0.0979378,11
-75.935278,37.476389,0.436,10.92857143,0.63112,0.4166607,3
-76.48620893,37.98055979,0.44,10.78561706,0.4769,0.3158371,8
-76.42620893,37.98055979,0.44,10.85704563,0.46337,0.3335608,-2
-76.06620893,38.58055979,0.445,10.57142857,0.61739,0.1332098,-5
-74.74620893,39.12055979,0.4466,10.86268473,1.38166,0.180588,-2
-74.734167,39.110833,0.4466,10.86863711,1.3822,0.0692525,3
-74.68620893,39.12055979,0.4466,10.86566092,1.36697,0.092912,-8
-74.02620893,40.44055979,0.44985,10.32579563,1.58217,0.0218996,-5
-74.02620893,40.50055979,0.44985,10.29788961,1.57902,0.0619414,-5
-73.96620893,40.44055979,0.44985,10.34333949,1.51573,0.0656987,-7
-76.67,34.72,0.45720556,10.01488095,1.078,0.434686,-5
