X,Y,HTF_threshold,SLR,TR,Slope_GEBCO_West,Elevation
-124.2462089,40.74055979,0.579,7.900584795918366,1.99326,0.6410741,7
-124.2462089,40.80055979,0.579,7.876775272108844,2.0102,0.3349954,-32
-124.217,40.7667,0.448056,7.876775272108844,2.08998,0.6602351,-10
-124.1862089,40.74055979,0.448056,7.900584795918366,2.071,0.4038017,1
-124.1862089,40.80055979,0.448056,7.876775272108844,2.1615,0.6573237,-8
-124.1862089,41.70055979,0.42672,6.566468253968253,2.08159,0.2233317,-28
-124.1862089,41.76055979,0.42672,6.5625,2.053,0.5583144,4
-124.183,41.745,0.42672,6.5625,2.09486,0.6602351,-5
-124.1262089,46.92055979,0.381,4.833333333333333,2.73123,0.0218996,-9
-124.10508,46.90431,0.381,4.833333333333333,2.78908,0.4727364,-3
-124.0662089,44.64055979,0.451104,6.277777777777778,2.47699,1.5327617,-1
-124.043,44.625,0.451104,6.273809523809524,2.54241,0.5527034,-6
-123.96692,46.70747,0.475982751,4.321428571428572,2.72012,0.5260313,3
-123.9462089,45.54055979,0.460248,5.781746031746031,2.38808,1.0950649,33
-123.9462089,46.68055979,0.475982751,4.273809523809524,2.73769,0.1579198,5
-123.9462089,46.74055979,0.475982751,4.507936507936508,2.536,2.0040414,74
-123.91894,45.55453,0.460248,5.781746031746031,2.5196,4.3213196,-14
-123.8862089,45.54055979,0.460248,5.781746031746031,2.472,4.8913407,74
-123.76831,46.20731,0.467825816,4.4603174603174605,2.62476,2.1665833,-5
-123.7662089,46.20055979,0.467825816,4.492063492063492,2.63569,1.6058809,-9
-123.708,38.9133,0.566928,6.458333333333333,1.78543,2.0415583,39
-123.7062089,38.88055979,0.566928,6.458333333333333,1.76513,1.1386286,-46
-123.7062089,38.94055979,0.566928,6.458333333333333,1.796,0.9210059,4
-123.7062089,46.20055979,0.467825816,4.456349206349206,2.637,0.2563264,-9
-123.4662089,46.26055979,0.454152,4.416666666666667,2.30181,0.3427787,-11
-123.4662089,48.12055979,0.414528,4.559523809523809,2.679,0.8980765,82
-123.452,46.2667,0.454152,4.416666666666667,2.29415,3.7831211,3
-123.44,48.125,0.414528,4.559523809523809,2.15293,2.1541753,-18
-123.4062089,46.14055979,0.566928,4.404761904761904,1.921,5.9407783,51
-123.4062089,46.20055979,0.454152,4.42063492063492,2.22879,0.8078601,-2
-123.4062089,46.26055979,0.454152,4.416666666666667,2.294,4.0447502,56
-123.4062089,48.12055979,0.414528,4.559523809523809,2.15738,1.937591,-7
-123.405,46.16,0.566928,4.42063492063492,2.11713,0.3462586,-17
-122.9862089,46.08055979,0.347472,5.392857142857142,1.284,2.8883791,177
-122.9862089,46.14055979,0.347472,5.408730158730159,1.485,0.2496921,1
-122.95417,46.10611,0.347472,5.384920634920634,1.37674,0.339969,-22
-122.9262089,46.08055979,0.347472,5.416666666666666,1.284,4.9477158,51
-122.9262089,46.14055979,0.347472,5.408730158730159,1.485,0.0218996,7
-122.8062089,45.84055979,0.445008,5.59126984126984,0.99699,0.2189948,3
-122.8062089,45.90055979,0.445008,5.523809523809524,1.02576,0.4183836,-13
-122.8062089,48.12055979,0.539496,4.591269841269842,2.384,1.2209013,76
-122.8062089,48.84055979,0.697992,3.7896825396825395,2.72085,0.4252052,-65
-122.797,45.865,0.445008,5.523809523809524,0.9957,1.2789934,0
-122.758,48.1117,0.539496,5.3055555555555545,2.5958,1.7931763,-13
-122.758,48.8633,0.697992,3.714285714285714,2.78804,3.2270508,-9
-122.7462089,45.84055979,0.445008,6.015873015873015,0.978,2.4337258,28
-122.7462089,48.12055979,0.539496,5.412698412698413,2.56329,1.8112481,-12
-122.7462089,48.84055979,0.697992,3.761904761904762,2.77221,0.1858235,-24
-122.7462089,48.90055979,0.697992,3.6944444444444446,2.82,0.4847564,15
-122.697,45.6317,0.408432,5.694444444444445,0.97485,0.3097039,-14
-122.6862089,45.60055979,0.408432,5.694444444444445,0.951,0.2646118,-5
-122.6862089,45.66055979,0.408432,5.7063492063492065,0.969,2.3381674,57
-122.5062089,37.80055979,0.353568,7.091269841269841,1.7571,0.4401676,-46
-122.465,37.80669,0.353568,7.091269841269841,1.78253,3.0041935,-5
-122.4462089,37.80055979,0.353568,7.087301587301588,1.81967,1.8586214,-1
-122.4462089,47.28055979,0.463296,5.317460317460318,3.58644,0.8802832,-129
-122.41333,47.26667,0.463296,5.321428571428571,3.5891,0.1548531,-16
-122.3862089,47.28055979,0.463296,5.321428571428571,3.59262,6.8316588,53
-122.3862089,47.58055979,0.463296,5.746031746031745,3.467,1.4728196,67
-122.33931,47.60264,0.606552,5.722222222222221,3.46231,4.389286,-31
-121.8462089,36.72055979,0.221,6.507936507936508,1.612,0.2553892,-48
-121.8462089,36.78055979,0.221,6.543650793650793,1.60609,3.7563686,-69
-121.8061,36.75,0.221,6.543650793650793,1.6076,0.5408638,1
-121.7862089,36.72055979,0.221,6.507936507936508,1.612,0.549222,20
-121.7862089,36.78055979,0.221,6.543650793650793,1.604,0.1332098,2
-120.7662089,35.16055979,0.5334,6.440476190476191,1.62036,7.1225061,8
-120.7662089,35.22055979,0.5334,6.440476190476191,1.612,2.2192957,420
-120.76,35.1767,0.5334,6.440476190476191,1.617,5.1361408,102
-120.7062089,34.44055979,0.603504,7.099206349206349,1.59037,2.1297033,-427
-120.7062089,34.50055979,0.603504,7.099206349206349,1.59748,1.4399172,-118
-120.673,34.4683,0.603504,7.099206349206349,1.59693,3.2185299,-175
-120.6462089,34.44055979,0.603504,7.111111111111111,1.59516,2.7038088,-255
-120.6462089,34.50055979,0.603504,7.111111111111111,1.60268,0.3462586,-91
-119.6862089,34.38055979,0.545592,7.007936507936508,1.6409,1.3067952,-36
-119.6862089,34.44055979,0.545592,6.8809523809523805,1.616,6.608676,197
-119.685,34.4083,0.545592,6.8809523809523805,1.64643,0.5205329,-5
-118.5462089,34.02055979,0.551688,6.334112811791383,1.6512,0.3917456,-20
-118.5,34.0083,0.551688,6.318239795918367,1.653,0.5697914,-10
-118.4862089,34.02055979,0.551688,6.334112811791383,1.643,0.631655,34
-118.3062089,33.72055979,0.554736,6.475981621315193,1.649,3.5118263,88
-118.272,33.72,0.554736,6.475981621315193,1.674,1.2060895,-12
-118.2462089,33.72055979,0.554736,6.539473684807256,1.67542,0.2286372,-13
-117.2862089,32.88055979,0.54864,7.130952380952381,1.6237,7.9584312,-287
-117.258,32.8667,0.54864,7.130952380952381,1.6243,6.4653773,-32
-117.2262089,32.88055979,0.54864,7.150793650793651,1.624,0.3917456,101
-117.174,32.71419,0.445008,7.130952380952381,1.74479,1.5964556,-16
-117.1662089,32.70055979,0.445008,7.130952380952381,1.7643,0.3824542,-20
