X,Y,SLR,TR,Slope,Elevation
-79.91484429,32.77175324,1.3777777777777778,1.75251,0.4493327,-7
-79.908937,32.751634,1.3777777777777778,1.74092,1.1947097,7
-79.85867607,32.74493122,1.3682539682539683,1.69855,0.5685276,-18
-79.813984,32.774819,1.3714285714285712,1.67741,0.2496921,-3
-79.719879,32.825796,1.4285714285714284,1.63732,0.4514622,5
-79.657848,32.874845,1.422222222222222,1.61513,0.1332098,-3
-79.579989,32.933452,1.4285714285714284,1.60911,0.2019034,-4
-79.501976,33.017272,1.4285714285714284,1.60146,0.0309707,0
-79.404422,33.019617,1.4698412698412697,1.5382,0.0437992,-2
-79.328159,33.090406,1.196825396825397,1.50472,0.0656987,-1
-79.235881,33.138288,1.4603174603174602,1.49071,0.0619414,-2
-79.17978,33.233612,1.4317460317460315,1.55728,0.3624978,-1
-79.161453,33.310928,1.419047619047619,1.59096,0.048969,-1
-79.128167,33.416597,1.4158730158730157,1.66515,0.1548531,-4
-79.045657,33.516804,1.3873015873015873,1.56276,0.0218996,-3
-78.991354,33.583487,1.1047619047619048,1.63825,0.2637041,-2
-78.915706,33.659118,1.1079365079365078,1.70533,0.159431,-7
-78.9125558,33.65217268,1.1079365079365078,1.707,0.0309707,-5
-78.837493,33.724895,1.1333333333333333,1.68595,0.2448433,-5
-78.749437,33.781082,1.1301587301587301,1.67725,0.1532967,-3
-78.662667,33.820516,1.1301587301587301,1.66917,0.0979378,-5
-78.552497,33.848328,1.1428571428571428,1.65588,0.4509308,-1
-78.470358,33.877394,1.4158730158730157,1.6549,0.2855333,-4
-78.364542,33.902748,1.434920634920635,1.6292,0.0309707,-2
-78.256984,33.914,1.3936507936507936,1.637,0.2167938,1
-78.144859,33.912584,1.0285714285714287,1.6132,0.3729312,2
-78.009564,33.865287,1.4698412698412697,1.56698,0.3233401,-8
-77.959065,33.861555,1.4698412698412697,1.39439,0.1871095,0
-77.924659,33.954881,1.0317460317460316,1.39625,0.0309707,0
-77.887726,34.043335,1.0761904761904761,1.41559,0.2770081,3
-77.839917,34.143997,1.4666666666666666,1.38438,0.048969,-1
-77.78177696,34.20907179,1.4698412698412697,1.33729,0.3135512,-4
-77.766246,34.24322,1.4857142857142858,1.36794,0.2189948,-3
-77.69352,34.315646,1.476190476190476,1.3922,0.048969,-4
-77.603881,34.383759,1.476190476190476,1.402,0.3042359,4
-77.517303,34.440876,1.4476190476190476,1.41565,0.0619414,-1
-77.433282,34.48572,1.4634920634920634,1.40016,0.1385049,-2
-77.344865,34.525359,1.4603174603174602,1.37963,0.0218996,1
-77.322884,38.46543,1.587301587301587,0.70814,0.851772,8
-77.310786,38.398187,1.5269841269841269,0.65351,0.5583144,-2
-77.267262,34.571554,1.0317460317460316,1.36835,0.0619414,0
-77.267081,38.499047,1.5904761904761906,0.75047,1.4206527,9
-77.25137,38.33168,1.5206349206349206,0.59092,2.2815034,13
-77.159985,34.625984,1.0317460317460316,1.3559,0.0979378,1
-77.142964,38.363863,1.615873015873016,0.48096,0.9405786,6
-77.123325,38.410646,1.6253968253968252,0.47969,0.4955187,-2
-77.101084,34.674577,1.4476190476190476,0.7784,1.1623765,11
-77.05562,38.397103,1.6253968253968252,0.47228,1.5778912,14
-77.048342,34.656976,1.4507936507936507,1.3415,0.7068833,-4
-77.023152,38.385183,1.7809523809523808,0.49503,0.7387253,3
-77.010794,38.291592,1.7746031746031745,0.5602,1.1953113,-1
-76.993691,35.497079,1.7428571428571427,0.30239,0.339969,4
-76.993312,35.072828,1.5301587301587298,0.0,0.443424,2
-76.988765,34.674197,1.4507936507936507,0.63,0.1871095,5
-76.985012,35.025771,1.5269841269841269,0.0,0.8243106,12
-76.980233,34.702335,1.4507936507936507,0.6322,0.2019034,1
-76.962375,38.230093,1.7682539682539682,0.59468,0.4212394,-1
-76.950973,35.440439,1.6507936507936505,0.28791,1.2199194,15
-76.945131,38.331351,1.8222222222222222,0.58824,0.1765596,3
-76.937975,34.678169,1.4476190476190476,1.3231,0.2846923,3
-76.890381,35.015601,1.4317460317460315,0.0,0.5896436,5
-76.880902,34.725828,1.4412698412698413,0.60431,0.635062,6
-76.87899,34.686931,1.4476190476190476,1.31221,0.6573237,0
-76.876757,35.45902,1.3333333333333333,0.2654,0.6041046,3
-76.874791,34.947795,1.3365079365079364,0.0,0.9290393,14
-76.860315,35.425117,1.3396825396825396,0.25905,0.4038017,-2
-76.859045,38.171028,1.838095238095238,0.5905,2.6221004,2
-76.838177,38.28195,2.056854256235827,0.63548,0.4020164,3
-76.828624,34.692776,1.4476190476190476,1.3028,0.434686,4
-76.781134,34.975204,1.0158730158730158,0.0,0.2448433,4
-76.770155,35.385153,1.346031746031746,0.2282,0.5785606,0
-76.765699,34.697337,1.4476190476190476,1.28908,0.3462586,1
-76.760671,34.720506,1.4412698412698413,0.76408,0.6660199,-4
-76.752859,34.920372,1.019047619047619,0.0,0.374215,4
-76.745972,38.157065,1.987301587301587,0.59568,0.07896,0
-76.745656,37.815099,2.231457430839002,0.6153,0.5710524,3
-76.743712,35.426823,1.346031746031746,0.2238,0.4313637,5
-76.721384,38.240415,1.968253968253968,0.62621,0.4993747,2
-76.698213,34.694071,1.434920634920635,1.26774,0.5055781,6
-76.68031675,34.70273859,1.434920634920635,1.15918,0.3427787,-14
-76.678611,35.029835,1.0222222222222221,0.0,0.4091111,5
-76.67773,35.348292,1.346031746031746,0.20367,0.8030981,9
-76.66758979,34.69774992,1.434920634920635,1.21881,0.0692525,-13
-76.666169,34.974022,1.0222222222222221,0.0,0.443424,4
-76.662947,37.75185,2.231457430839002,0.58746,1.5132564,8
-76.659431,37.093939,2.2603174603174603,0.7868,1.0478648,12
-76.646472,34.678973,1.434920634920635,1.2749,0.4964855,-2
-76.643005,35.402341,1.346031746031746,0.20107,1.0198113,8
-76.639712,38.121977,2.1870129863945578,0.57661,0.5748188,2
-76.634613,34.706618,1.434920634920635,0.91133,0.1883867,2
-76.623022,37.139869,2.276190476190476,0.7847,0.3591752,2
-76.605739,38.218515,2.123520922902494,0.59802,0.8892244,7
-76.604108,37.773986,2.2663780657596373,0.582,0.4114488,2
-76.601288,37.033136,2.4253968253968257,0.82223,0.8604525,16
-76.585569,36.015448,2.165079365079365,0.0,0.7279368,3
-76.580802,37.660796,2.145743145124716,0.51871,0.3824542,6
-76.579498,35.3307,1.346031746031746,0.1774,0.3042359,1
-76.577076,35.097841,1.0222222222222221,0.0,0.1469066,-2
-76.563015,34.998669,1.4571428571428569,0.0,0.2077568,0
-76.554769,34.619488,1.4317460317460315,1.28744,0.527397,-3
-76.55333,37.086821,2.4349206349206347,0.87983,0.5041533,6
-76.550865,35.940607,2.2158730158730156,0.0,0.5892369,9
-76.55004,38.04042,2.1870129863945578,0.50881,0.4026124,4
-76.541979,37.707957,2.14891774829932,0.54597,0.547473,2
-76.540994,34.649582,1.4444444444444442,0.77858,0.0309707,-1
-76.532442,38.685076,2.0314574308390023,0.4125,0.8937955,3
-76.529325,35.208062,1.0222222222222221,0.0,0.1313973,0
-76.521006,36.973187,2.4539682539682537,0.86358,0.2156849,3
-76.520913,35.395967,1.0444444444444445,0.17146,0.4509308,3
-76.518163,34.71909,1.019047619047619,0.48454,0.2418874,2
-76.517111,38.575043,2.037806637188208,0.4092,1.6743762,18
-76.515946,34.62859,1.4317460317460315,1.16197,0.2637041,-2
-76.515286,38.799004,2.0251082244897955,0.419,0.3349954,1
-76.505572,38.139825,2.1698412698412697,0.54574,0.4026124,4
-76.501557,37.61214,2.2727272721088436,0.48805,0.6620483,4
-76.493822,38.899961,1.892063492063492,0.43375,0.7550952,-2
-76.485492,35.306559,1.0222222222222221,0.13153,0.1094978,0
-76.483863,37.03803,2.4539682539682537,0.89097,0.9792839,10
-76.478863,38.470346,2.0346320340136055,0.41595,1.7650425,2
-76.4783,37.2267,2.4539682539682537,0.78327,0.6170628,-13
-76.47491,35.064352,1.4666666666666666,0.0,0.0218996,1
-76.472325,36.021501,2.2158730158730156,0.0,0.779774,8
-76.466421,36.883169,2.5349206349206344,0.91269,0.527397,8
-76.463477,34.720431,1.019047619047619,0.45314,0.0,0
-76.46222356,37.99222177,2.193362192743764,0.47374,0.1883867,-2
-76.459591,34.791817,1.473015873015873,0.40692,0.4026124,4
-76.457442,39.153289,1.765079365079365,0.48071,0.305023,-1
-76.455411,34.709843,1.019047619047619,1.12172,0.048969,1
-76.451886,35.969665,2.165079365079365,0.0,0.3255573,6
-76.450481,38.977612,1.7968253968253969,0.4295,0.3824542,-2
-76.445277,37.98635,2.1984126984126986,0.47071,0.3644768,3
-76.436852,37.649931,2.253679653061224,0.47362,0.8102307,6
-76.427292,36.968406,2.6158730158730155,0.89756,1.4941375,14
-76.422607,35.026672,1.473015873015873,0.0,0.0619414,1
-76.415104,37.580544,2.3330447324263037,0.4383,1.4312385,9
-76.413535,38.40933,2.2251082244897957,0.41391,1.7249659,23
-76.410485,39.227899,1.876190476190476,0.49602,0.5205329,2
-76.409988,39.036423,2.0409812403628114,0.4432,1.1679302,14
-76.409774,38.106923,2.363492063492063,0.51417,0.2286372,-4
-76.407832,35.374201,1.0317460317460316,0.1501,0.0979378,0
-76.398271,38.309126,2.2663780657596373,0.43167,0.8175942,-4
-76.389284,34.856315,1.5904761904761906,0.29367,0.4964855,4
-76.387708,37.264381,2.456854256235827,0.73455,0.1958751,3
-76.387013,34.786076,1.4793650793650792,1.1041,0.0902942,-1
-76.386951,38.222788,2.231457430839002,0.436,0.7689381,1
-76.384456,34.788663,1.4793650793650792,1.10357,0.048969,0
-76.379856,36.924376,2.579365079365079,0.8725,0.3135512,-3
