X,Y,SLR,TR,Slope,Elevation
-97.63888937,27.25773194,9.368330904761903,0.0,0.2804493,-2
-97.56587116,27.31670067,9.561783285714284,0.0,0.3824542,-1
-97.54125458,27.23300458,9.561783285714284,0.0,0.2855333,-1
-97.53698075,27.28947727,9.561783285714284,0.0,0.3349954,-1
-97.48932461,27.37106728,9.561783285714284,0.0,0.3729312,-3
-97.43258852,27.2688886,9.603449952380952,0.0,0.1332098,-1
-97.42189352,26.55633833,9.544889861678003,0.0,0.4837662,-3
-97.40832061,27.32189539,9.603449952380952,0.0,0.1469066,0
-97.39328006,27.29395389,9.603449952380952,0.0,0.0,1
-97.37782444,27.85815809,9.06547619047619,0.21479,0.1179327,-3
-97.37040721,27.0571548,9.605008909297052,0.5041,0.3112485,-7
-97.36671528,27.76071598,9.059523809523808,0.18923,0.0979378,-4
-97.3587426,26.89082445,9.560366052154196,0.5026,0.2946262,-5
-97.35073645,27.20130063,9.642140428571429,0.5046,0.3462586,-9
-97.32374875,26.74359608,9.548461290249433,0.5001,0.4252052,-7
-97.30864728,27.36945178,9.64511661904762,0.5038,0.3342789,-5
-97.28987694,27.71319153,9.08035714285714,0.18727,0.0619414,-4
-97.28560083,26.60655162,9.416071428571428,0.4964,0.2880417,-3
-97.28097459,27.85388309,9.13392857142857,0.1911,0.0,-4
-97.2475206,27.63515425,9.077380952380953,0.09366,0.4183836,-5
-97.22970962,26.4709389,9.542508909297052,0.49551,0.3462586,-7
-97.22091603,27.56135637,9.077380952380953,0.49876,0.2646118,-6
-97.21537126,26.06147023,9.860119047619046,0.41386,0.1332098,5
-97.19877071,26.35005587,9.542508909297052,0.4958,0.3042359,-5
-97.19302845,27.80647854,9.08035714285714,0.17576,0.4428829,-6
-97.17734845,26.25359238,9.587151766439908,0.49606,0.3767693,-7
-97.16617072,26.16698696,9.773809523809522,0.4974,0.3716431,-5
-97.15540792,26.06754396,9.800595238095237,0.46048,0.9627443,-17
-97.14622,25.958594,9.88095238095238,0.4925,0.4998547,5
-97.13249719,27.71401109,9.08035714285714,0.5012,0.2708809,-5
-97.06560094,27.84141992,9.083333333333332,0.32894,1.4556386,-14
-97.0235728,27.83255668,9.145833333333334,0.50878,0.0902942,-11
-96.92188606,27.9822494,10.389880952380953,0.50749,0.2708809,-7
-96.83456807,28.41372501,11.997023809523808,0.1244,0.0,-1
-96.79357528,28.09844015,10.369047619047619,0.50736,0.2019034,-7
-96.77484309,28.22158583,10.321428571428571,0.11372,0.0,-2
-96.71601642,28.40172249,12.008928571428571,0.11813,0.0875983,-1
-96.69459267,28.32134988,11.976190476190476,0.1168,0.0979378,-1
-96.64860076,28.20569459,13.616071428571427,0.5069,0.4183836,-3
-96.60168493,28.63965528,12.00297619047619,0.28372,0.0692525,-1
-96.51795705,28.58594306,12.00297619047619,0.2753,0.0,-2
-96.51429103,28.27469191,12.142857142857144,0.50657,0.1667818,-8
-96.50462606,28.37561169,11.973214285714285,0.11672,0.0,-2
-96.38309821,28.4468651,11.991071428571427,0.24236,0.0619414,-4
-96.32950003,28.42700575,11.991071428571427,0.53503,0.6228638,-26
-96.2796656,28.66200418,12.175595238095237,0.28687,0.0309707,-2
-96.16758652,28.51049978,12.175595238095237,0.51036,0.3917456,-3
-96.1330247,28.60057448,12.223214285714285,0.2863,0.048969,-1
-96.02927749,28.57198211,12.223214285714285,0.5059,0.434686,-3
-95.87763748,28.63050333,12.1875,0.50178,0.3427787,-3
-95.72933021,28.69630072,12.270833333333332,0.49853,0.220087,-5
-95.6061645,28.75504492,12.535714285714285,0.5042,0.2563264,-5
-95.45611156,28.83255966,13.696428571428571,0.5083,0.07896,-7
-95.2971395,28.92711156,13.729166666666666,0.53409,0.180588,-3
-95.18915848,29.00846222,13.729166666666666,0.55238,0.1385049,-5
-95.11347954,29.07828273,13.69345238095238,0.52382,0.0875983,-1
-95.00387104,29.55268217,12.375,0.35911,0.048969,-2
-94.98356128,29.68576694,12.309523809523808,0.39923,0.3611724,-2
-94.96959707,29.17141144,12.69642857142857,0.58334,0.1710407,-6
-94.90634364,29.48567546,12.416666666666666,0.33397,0.0619414,-1
-94.88306654,29.3023361,12.755952380952381,0.36879,0.0218996,-3
-94.87056114,29.39745791,12.416666666666666,0.31673,0.0218996,-2
-94.85889652,29.68161262,12.324404761904761,0.39009,0.2019034,0
-94.7896287,29.26565339,12.660714285714286,0.61255,0.0692525,-6
-94.74225036,29.58601708,12.086309523809524,0.38465,0.0692525,-1
-94.73225212,29.7597596,12.163690476190474,0.41695,0.0437992,-1
-94.72725299,29.43664906,12.291666666666666,0.3435,0.048969,-1
-94.68726002,29.53383584,12.12797619047619,0.36421,0.1469066,-1
-94.65654247,29.3445646,12.559523809523808,0.6312,0.0692525,-10
-94.59466296,29.45387677,12.047619047619046,0.6751,0.1238826,-6
-94.51386039,29.52322358,12.035714285714286,0.3881,0.2156849,0
-94.41469459,29.5269807,12.023809523809524,0.69384,0.1710407,-5
-94.39223783,29.59605086,12.095238095238093,0.3352,0.048969,2
-94.26172148,29.5895992,12.12797619047619,0.69573,0.1548531,-3
-94.12859155,29.64045972,12.122023809523808,0.69851,0.1667818,-3
-93.98694977,29.67666126,11.94047619047619,0.6962,0.3874373,-2
-93.93153071,29.86726771,11.910714285714285,0.31783,0.1094978,3
-93.83372336,29.6857561,11.491071428571429,0.62494,0.8338525,-17
-93.72532909,29.73310964,11.452380952380953,0.70387,0.1765596,-2
-93.58702006,29.75191871,11.520833333333332,0.71679,0.2358644,-3
-93.45371016,29.76493831,11.51190476190476,0.7208,0.1765596,-2
-93.34189974,29.75824594,11.544642857142858,0.71251,0.1765596,-2
-93.24252195,29.76987257,11.485119047619046,0.721,0.0692525,-3
-93.06421995,29.73370463,11.601190476190476,0.70363,0.2233317,-1
