X,Y,SLR,TR,Slope,Elevation
-124.71,48.13,4.190476190476191,2.67666,2.5441475,10
-124.71,48.39,3.412698412698412,2.52541,10.552784,-58
-124.7,48.25,3.658730158730158,2.67726,1.3397528,-11
-124.69,47.93,4.2182539682539675,2.6476,0.0619414,-27
-124.69,48.04,4.222222222222222,2.66766,1.3971843,-1
-124.69,48.34,3.5515873015873014,2.66722,3.5898306,33
-124.58,47.87,4.51984126984127,2.6448,4.1431251,-9
-124.58,48.37,3.392857142857143,2.43327,6.7776074,40
-124.57,42.84,6.662698412698412,2.25053,2.1470525,-6
-124.52,42.75,6.662698412698412,2.2215,0.9539901,-1
-124.51,42.9,6.662698412698412,2.2736,0.667099,1
-124.48,47.78,3.976190476190476,2.6485,4.008306,-2
-124.47,42.97,6.662698412698412,2.2842,0.1276952,3
-124.46,48.32,3.242063492063492,2.35556,6.1399837,89
-124.45,42.67,6.666666666666666,2.2104,1.2604978,-32
-124.44,42.44,6.081349206349206,2.17881,0.9909633,-1
-124.44,43.05,5.702380952380952,2.2937,0.989511,7
-124.43,42.32,6.224206349206349,2.12894,4.200882,-13
-124.43,42.33,6.224206349206349,2.13431,8.5722589,45
-124.43,42.34,6.33531746031746,2.13673,4.0749655,-8
-124.43,42.39,6.081349206349206,2.15615,0.3830806,-7
-124.43,42.42,6.081349206349206,2.1701,0.692492,-5
-124.43,42.42,6.081349206349206,2.1701,0.692492,-5
-124.43,43.12,5.702380952380952,2.31519,1.4030029,14
-124.42,42.32,6.224206349206349,2.12759,3.5175288,19
-124.42,42.43,6.081349206349206,2.17481,6.7062049,61
-124.42,42.46,6.081349206349206,2.1864,4.3829393,56
-124.42,42.5,6.081349206349206,2.1903,2.4947829,21
-124.42,47.71,4.130952380952381,2.64671,2.9371941,10
-124.41,40.44,7.960317460317459,1.90824,5.2098727,28
-124.41,42.25,6.224206349206349,2.10229,2.5379355,24
-124.41,42.28,6.224206349206349,2.1141,1.1117902,0
-124.41,42.3,6.224206349206349,2.12065,4.0498118,34
-124.4,42.24,6.236111111111111,2.09489,4.0763683,1
-124.4,43.19,5.702380952380952,2.31045,1.6466807,3
-124.4,43.31,5.702380952380952,2.31225,3.6757736,3
-124.39,42.23,6.236111111111111,2.09075,4.8720274,19
-124.39,42.57,6.0853174603174605,2.1989,3.9825461,35
-124.39,43.27,5.702380952380952,2.31235,2.2633915,-2
-124.39,47.64,4.130952380952381,2.64551,3.2010469,19
-124.38,42.2,6.236111111111111,2.08005,1.9090828,-15
-124.38,42.21,6.236111111111111,2.08355,2.1964245,-2
-124.37,40.35,7.492063492063491,1.90351,1.4130429,-11
-124.37,40.54,7.968253968253967,1.93045,4.5903697,29
-124.37,42.15,6.236111111111111,2.06269,3.3163726,-16
-124.37,42.16,6.236111111111111,2.0663,3.5040724,-14
-124.37,42.17,6.236111111111111,2.06965,3.2639096,-14
-124.37,42.19,6.236111111111111,2.0763,7.1527801,-14
-124.36,40.26,7.4682539682539675,1.91272,6.7191119,76
-124.36,42.12,6.220238095238095,2.05205,3.6271784,-13
-124.36,42.12,6.220238095238095,2.05205,3.6271784,-13
-124.36,42.14,6.220238095238095,2.05921,2.569031,-9
-124.36,42.14,6.220238095238095,2.05921,2.569031,-9
-124.36,42.16,6.236111111111111,2.0669,7.3080645,62
-124.36,42.17,6.236111111111111,2.07025,5.5207191,71
-124.36,47.55,4.194444444444445,2.64205,1.3141097,6
-124.35,42.1,6.220238095238095,2.04334,3.8247335,23
-124.35,42.11,6.220238095238095,2.0476,5.5292497,19
-124.35,42.13,6.220238095238095,2.0557,7.6295981,45
-124.35,47.48,4.194444444444445,2.63975,1.0684772,-2
-124.33,43.36,5.7142857142857135,2.32717,0.5301178,-7
-124.33,47.39,4.575396825396825,2.6361,1.8994006,-1
-124.33,48.28,3.837301587301587,2.29196,3.355444,-11
-124.32,40.63,8.011695907029479,1.92275,0.2358644,0
-124.32,42.08,6.220238095238095,2.03205,2.7054,46
-124.32,43.35,5.7142857142857135,2.32698,1.1638188,-8
-124.29,40.2,7.103174603174603,1.86819,8.71136,42
-124.29,42.04,6.224206349206349,2.01515,1.3097259,-7
-124.29,43.43,5.7142857142857135,2.26455,0.5107682,0
-124.29,47.33,4.563492063492063,2.6337,2.5864725,29
-124.28,42.05,6.208333333333333,2.01419,1.7526515,28
-124.28,43.42,5.702380952380952,2.469,0.3233401,-6
-124.27,40.72,7.975981621315191,1.97676,0.9433778,-12
-124.26,41.77,6.700396825396825,2.05395,0.2627932,-16
-124.26,41.78,6.700396825396825,2.05219,0.8263438,-10
-124.26,43.5,5.7063492063492065,2.23845,0.3531157,-1
-124.25,41.78,6.700396825396825,2.05215,0.9446474,13
-124.24,40.76,8.03153717687075,2.00629,0.2019034,-18
-124.24,42.02,6.196428571428571,2.001,1.6530687,-1
-124.23,40.74,8.03153717687075,2.08066,0.602515,-16
-124.23,40.76,8.03153717687075,2.05009,0.5608852,-14
-124.23,43.45,5.702380952380952,2.5573,1.303858,16
-124.23,43.58,5.7063492063492065,2.2094,0.6959455,-2
-124.22,41.75,6.692460317460317,2.07111,0.6858824,-5
-124.22,43.43,5.7142857142857135,2.554,2.8135157,-7
-124.22,47.25,4.551587301587301,2.6334,1.6018482,33
-124.21,40.15,6.744047619047619,1.861,5.6184597,10
-124.21,40.77,8.03153717687075,2.09778,0.180588,-10
-124.21,40.77,8.03153717687075,2.09778,0.180588,-10
-124.21,40.8,8.03153717687075,2.0136,1.1736618,-11
-124.21,41.86,6.498015873015873,2.016,0.0619414,3
-124.21,41.92,6.5932539682539675,1.98635,0.3073724,-1
-124.21,41.99,6.196428571428571,1.9885,2.3266783,2
-124.21,43.67,5.694444444444445,2.18461,0.6510935,-7
-124.2,40.76,8.03153717687075,2.08268,0.4727364,-18
-124.2,47.18,4.523809523809524,2.6293,1.1261411,-1
-124.2,48.25,3.837301587301587,2.23378,12.9444571,-26
-124.19,41.75,6.708333333333333,2.09295,0.3729312,3
-124.18,40.81,8.007727653061224,2.18839,0.6660199,-7
-124.18,43.76,5.686507936507936,2.20745,0.9295552,1
-124.18,47.09,4.523809523809524,2.6214,0.2637041,0
-124.17,40.86,8.007727653061224,2.01575,0.6100288,3
-124.17,46.93,4.650793650793651,2.63586,0.687628,3
-124.17,47.01,4.984126984126984,2.6149,0.2637041,4
-124.16,41.14,7.805346700680271,2.01986,4.3520489,-13
-124.16,41.73,6.885019841269841,2.0894,0.5544359,-6
-124.16,43.85,6.178571428571428,2.23731,0.5977207,7
-124.15,41.05,7.805346700680271,2.02055,2.8896198,-8
-124.15,41.14,7.805346700680271,2.0209,4.3144855,38
-124.15,43.93,6.21031746031746,2.2661,0.4556912,-2
-124.14,40.94,7.741854637188208,2.01895,0.9311012,-3
-124.14,41.67,6.8572420634920634,2.08495,9.881114,28
-124.14,41.7,6.8572420634920634,2.0871,7.2849422,93
-124.14,44.02,6.341369047619047,2.29968,0.3112485,2
-124.14,46.9,4.662698412698412,2.60468,0.4998547,-1
-124.14,47.03,4.666666666666666,2.20293,0.440712,4
-124.13,44.12,6.29375,2.35451,2.0282645,-4
-124.13,46.96,4.666666666666666,2.69408,0.4160848,10
-124.12,40.11,6.553571428571428,1.85671,14.0252333,123
-124.12,44.2,6.309623015873015,2.3962,3.9609497,7
-124.11,41.03,7.4682539682539675,2.0217,5.004107,44
-124.11,41.22,8.293650793650794,2.0266,5.2565918,51
-124.11,44.29,6.376984126984127,2.4448,7.9988446,94
-124.11,46.83,4.559523809523809,2.56105,0.3917456,-1
-124.1,41.57,6.920734126984128,2.075,7.3635173,7
-124.1,48.22,4.186507936507936,2.19619,7.2668796,-28
-124.09,41.31,7.261904761904762,2.0377,5.3579431,25
-124.09,44.37,6.543650793650793,2.48405,0.5685276,10
-124.09,44.41,6.543650793650793,2.50241,0.9207456,1
-124.08,41.52,7.226190476190475,2.069,8.1630812,54
-124.08,41.54,7.226190476190475,2.07271,1.4656445,19
-124.08,44.51,6.492063492063491,2.492,1.9189655,-2
