random state,n_estimators,max_depth,bootstrapping
60.0,100.0,10.0,[ True]
10.0,400.0,9.0,[ True]
50.0,100.0,7.0,[ True]
42.0,200.0,9.0,[ True]
10.0,50.0,10.0,[ True]
10.0,60.0,7.0,[ True]
60.0,100.0,10.0,[ True]
42.0,60.0,7.0,[ True]
10.0,50.0,10.0,[ True]
10.0,50.0,10.0,[ True]
60.0,100.0,10.0,[ True]
10.0,50.0,10.0,[ True]
10.0,60.0,7.0,[ True]
42.0,400.0,8.0,[ True]
10.0,50.0,10.0,[ True]
42.0,50.0,7.0,[ True]
10.0,400.0,10.0,[ True]
42.0,60.0,9.0,[ True]
60.0,100.0,10.0,[ True]
50.0,60.0,5.0,[ True]
50.0,100.0,7.0,[ True]
42.0,400.0,8.0,[ True]
10.0,300.0,7.0,[ True]
42.0,60.0,9.0,[ True]
10.0,400.0,9.0,[ True]
42.0,60.0,9.0,[ True]
42.0,60.0,7.0,[ True]
42.0,100.0,9.0,[ True]
42.0,200.0,8.0,[ True]
42.0,200.0,9.0,[ True]
42.0,60.0,9.0,[ True]
42.0,60.0,9.0,[ True]
42.0,200.0,8.0,[ True]
60.0,100.0,10.0,[ True]
10.0,400.0,9.0,[ True]
42.0,200.0,9.0,[ True]
42.0,60.0,9.0,[ True]
10.0,400.0,10.0,[ True]
50.0,100.0,7.0,[ True]
42.0,60.0,7.0,[ True]
10.0,400.0,9.0,[ True]
42.0,400.0,8.0,[ True]
50.0,100.0,7.0,[ True]
42.0,400.0,8.0,[ True]
42.0,60.0,9.0,[ True]
42.0,400.0,8.0,[ True]
10.0,400.0,10.0,[ True]
10.0,50.0,10.0,[ True]
60.0,100.0,10.0,[ True]
42.0,60.0,9.0,[ True]
42.0,100.0,9.0,[ True]
50.0,100.0,7.0,[ True]
60.0,100.0,10.0,[ True]
42.0,200.0,9.0,[ True]
10.0,50.0,10.0,[ True]
10.0,50.0,10.0,[ True]
42.0,200.0,8.0,[ True]
42.0,200.0,8.0,[ True]
42.0,200.0,8.0,[ True]
42.0,60.0,9.0,[ True]
42.0,400.0,8.0,[ True]
60.0,100.0,10.0,[ True]
10.0,400.0,9.0,[ True]
10.0,400.0,10.0,[ True]
50.0,100.0,7.0,[ True]
60.0,100.0,10.0,[ True]
60.0,100.0,10.0,[ True]
10.0,50.0,10.0,[ True]
42.0,60.0,7.0,[ True]
60.0,100.0,10.0,[ True]
