X,Y,SLR,TR,Slope,Elevation,HTF_predicted
-124.71,48.13,0.5952380952380952,2.67666,2.5441475,10,0.49208217709123386
-124.71,48.39,-0.0952380952380952,2.52541,10.552784,-58,0.6071544102543586
-124.7,48.25,0.3730158730158729,2.67726,1.3397528,-11,0.498887349849026
-124.69,47.93,0.6031746031746033,2.6476,0.0619414,-27,0.480154561941116
-124.69,48.04,0.5952380952380952,2.66766,1.3971843,-1,0.4853350357390917
-124.69,48.34,-0.119047619047619,2.66722,3.5898306,33,0.6082160459321999
-124.58,47.87,0.8969954648526077,2.6448,4.1431251,-9,0.47278368712931534
-124.58,48.37,-0.2508219954648526,2.43327,6.7776074,40,0.5906495164507322
-124.57,42.84,2.523809523809524,2.25053,2.1470525,-6,0.40473686534879993
-124.52,42.75,2.523809523809524,2.2215,0.9539901,-1,0.40098493476440056
-124.51,42.9,2.523809523809524,2.2736,0.667099,1,0.39448766612534725
-124.48,47.78,0.0768896439909297,2.6485,4.008306,-2,0.5097985568951895
-124.47,42.97,2.5079365079365084,2.2842,0.1276952,3,0.38663787774799413
-124.46,48.32,-0.1555839002267573,2.35556,6.1399837,89,0.5917642509255575
-124.45,42.67,2.579365079365079,2.2104,1.2604978,-32,0.3992217611473254
-124.44,42.44,2.0614764421768705,2.17881,0.9909633,-1,0.3964011678164153
-124.44,43.05,1.4208049886621317,2.2937,0.989511,7,0.39256878571759846
-124.43,42.32,2.053539934240362,2.12894,4.200882,-13,0.4089100785882278
-124.43,42.33,2.053539934240362,2.13431,8.5722589,45,0.4090540881003298
-124.43,42.34,2.0852859659863943,2.13673,4.0749655,-8,0.40816997766002266
-124.43,42.39,2.0614764421768705,2.15615,0.3830806,-7,0.39724455302351586
-124.43,42.42,2.0614764421768705,2.1701,0.692492,-5,0.39710387610043896
-124.43,42.42,2.0614764421768705,2.1701,0.692492,-5,0.39710387610043896
-124.43,43.12,1.4208049886621317,2.31519,1.4030029,14,0.44585770414926834
-124.42,42.32,2.053539934240362,2.12759,3.5175288,19,0.40819811304463804
-124.42,42.43,2.0614764421768705,2.17481,6.7062049,61,0.4090540881003298
-124.42,42.46,2.0694129501133784,2.1864,4.3829393,56,0.4089100785882278
-124.42,42.5,2.0694129501133784,2.1903,2.4947829,21,0.40554421081991276
-124.42,47.71,0.2433862426303855,2.64671,2.9371941,10,0.5039032931687081
-124.41,40.44,4.4433106575963714,1.90824,5.2098727,28,0.40142751648104996
-124.41,42.25,2.053539934240362,2.10229,2.5379355,24,0.40554421081991276
-124.41,42.28,2.053539934240362,2.1141,1.1117902,0,0.39662011110505996
-124.41,42.3,2.053539934240362,2.12065,4.0498118,34,0.40816997766002266
-124.4,42.24,2.023423721088435,2.09489,4.0763683,1,0.40712271612156115
-124.4,43.19,1.4208049886621317,2.31045,1.6466807,3,0.4413902272261915
-124.4,43.31,1.4208049886621317,2.31225,3.6757736,3,0.4528290129479547
-124.39,42.23,1.999614197278912,2.09075,4.8720274,19,0.408856573262784
-124.39,42.57,2.0614764421768705,2.1989,3.9825461,35,0.40816997766002266
-124.39,43.27,1.4208049886621317,2.31235,2.2633915,-2,0.4520507940468557
-124.39,47.64,0.1483182154195011,2.64551,3.2010469,19,0.503966741587133
-124.38,42.2,1.999614197278912,2.08005,1.9090828,-15,0.4044969492814512
-124.38,42.21,1.999614197278912,2.08355,2.1964245,-2,0.4044969492814512
-124.37,40.35,3.839718342403628,1.90351,1.4130429,-11,0.39135464383195157
-124.37,40.54,4.4433106575963714,1.93045,4.5903697,29,0.3997100150156513
-124.37,42.15,1.999614197278912,2.06269,3.3163726,-16,0.40715085150617647
-124.37,42.16,1.999614197278912,2.0663,3.5040724,-14,0.40715085150617647
-124.37,42.17,1.999614197278912,2.06965,3.2639096,-14,0.40715085150617647
-124.37,42.19,1.999614197278912,2.0763,7.1527801,-14,0.4088292013464836
-124.36,40.26,3.839718342403628,1.91272,6.7191119,76,0.4017783685431378
-124.36,42.12,2.039296736961451,2.05205,3.6271784,-13,0.40816997766002266
-124.36,42.12,2.039296736961451,2.05205,3.6271784,-13,0.40816997766002266
-124.36,42.14,2.039296736961451,2.05921,2.569031,-9,0.40554421081991276
-124.36,42.14,2.039296736961451,2.05921,2.569031,-9,0.40554421081991276
-124.36,42.16,1.999614197278912,2.0669,7.3080645,62,0.4088292013464836
-124.36,42.17,1.999614197278912,2.07025,5.5207191,71,0.40873625697670346
-124.36,47.55,0.3149848820861677,2.64205,1.3141097,6,0.4956439394236226
-124.35,42.1,2.039296736961451,2.04334,3.8247335,23,0.40816997766002266
-124.35,42.11,2.039296736961451,2.0476,5.5292497,19,0.409783518515165
-124.35,42.13,2.039296736961451,2.0557,7.6295981,45,0.40987646288494517
-124.35,47.48,0.3070483741496598,2.63975,1.0684772,-2,0.4947360882988362
-124.33,43.36,1.4208049886621317,2.32717,0.5301178,-7,0.45696832774090906
-124.33,47.39,0.4022864693877551,2.6361,1.8994006,-1,0.4954952816637507
-124.33,48.28,0.423611111111111,2.29196,3.355444,-11,0.4070862604714967
-124.32,40.63,4.4433106575963714,1.92275,0.2358644,0,0.38702063570814205
-124.32,42.08,2.029730410430839,2.03205,2.7054,46,0.4063092884292534
-124.32,43.35,1.4208049886621317,2.32698,1.1638188,-8,0.4579205964569605
-124.29,40.2,3.1254326281179137,1.86819,8.71136,42,0.4017783685431378
-124.29,42.04,1.9916776893424035,2.01515,1.3097259,-7,0.3965582534550177
-124.29,43.43,1.3969954648526075,2.26455,0.5107682,0,0.40114293763890035
-124.29,47.33,0.4419690090702947,2.6337,2.5864725,29,0.4907306923446108
-124.28,42.05,2.005920886621315,2.01419,1.7526515,28,0.402201517790682
-124.28,43.42,1.3969954648526075,2.469,0.3233401,-6,0.48918363644387597
-124.27,40.72,4.4433106575963714,1.97676,0.9433778,-12,0.3873524889625799
-124.26,41.77,2.5450286598639456,2.05395,0.2627932,-16,0.3924033837927466
-124.26,41.78,2.5450286598639456,2.05219,0.8263438,-10,0.39273523704718444
-124.26,43.5,1.4049319727891156,2.23845,0.3531157,-1,0.40015819917736195
-124.25,41.78,2.5450286598639456,2.05215,0.9446474,13,0.39273523704718444
-124.24,40.76,4.459183673469387,2.00629,0.2019034,-18,0.38413446312646665
-124.24,42.02,2.021793902494331,2.001,1.6530687,-1,0.3959097303780947
-124.23,40.74,4.459183673469387,2.08066,0.602515,-16,0.3873488818619882
-124.23,40.76,4.459183673469387,2.05009,0.5608852,-14,0.3873488818619882
-124.23,43.45,1.4049319727891156,2.5573,1.303858,16,0.4760822208229675
-124.23,43.58,1.4049319727891156,2.2094,0.6959455,-2,0.4017281684081313
-124.22,41.75,2.4878432857142854,2.07111,0.6858824,-5,0.3935569867582638
-124.22,43.43,1.4128684807256235,2.554,2.8135157,-7,0.481609249868357
-124.22,47.25,0.4499055170068026,2.6334,1.6018482,33,0.48900581186602116
-124.21,40.15,2.596725775510204,1.861,5.6184597,10,0.40433018119363734
-124.21,40.77,4.459183673469387,2.09778,0.180588,-10,0.38413446312646665
-124.21,40.77,4.459183673469387,2.09778,0.180588,-10,0.38413446312646665
-124.21,40.8,4.459183673469387,2.0136,1.1736618,-11,0.39051058229349006
-124.21,41.86,2.1307004285714286,2.016,0.0619414,3,0.385312708517225
-124.21,41.92,2.16244646031746,1.98635,0.3073724,-1,0.3887107684081312
-124.21,41.99,2.021793902494331,1.9885,2.3266783,2,0.4044969492814512
-124.21,43.67,1.4208049886621317,2.18461,0.6510935,-7,0.39793081456197743
-124.2,40.76,4.459183673469387,2.08268,0.4727364,-18,0.3874895587850651
-124.2,47.18,0.3705404376417233,2.6293,1.1261411,-1,0.49139563789441904
-124.2,48.25,0.3998015873015872,2.23378,12.9444571,-26,0.4139342552137875
-124.19,41.75,2.4878432857142854,2.09295,0.3729312,3,0.3936976636813407
-124.18,40.81,4.257653061224489,2.18839,0.6660199,-7,0.3873488818619882
-124.18,43.76,1.4365079365079363,2.20745,0.9295552,1,0.401731775508723
-124.18,47.09,0.3467309138321995,2.6214,0.2637041,0,0.49141663735351554
-124.17,40.86,4.257653061224489,2.01575,0.6100288,3,0.3873488818619882
-124.17,46.93,0.3546674217687075,2.63586,0.687628,3,0.4932186139975542
-124.17,47.01,0.7065192743764172,2.6149,0.2637041,4,0.48103384038646596
-124.16,41.14,3.834549712018141,2.01986,4.3520489,-13,0.3997100150156513
-124.16,41.73,2.7583025464852606,2.0894,0.5544359,-6,0.39284990011858767
-124.16,43.85,1.6532507732426305,2.23731,0.5977207,7,0.3989039837927466
-124.15,41.05,3.834549712018141,2.02055,2.8896198,-8,0.3968591325489845
-124.15,41.14,3.834549712018141,2.0209,4.3144855,38,0.3997100150156513
-124.15,43.93,1.8040444240362807,2.2661,0.4556912,-2,0.40064681456197726
-124.14,40.94,3.810740188208616,2.01895,0.9311012,-3,0.3873524889625799
-124.14,41.67,2.7732937278911565,2.08495,9.881114,28,0.40853529986742954
-124.14,41.7,2.7732937278911565,2.0871,7.2849422,93,0.40853529986742954
-124.14,44.02,2.288171408163265,2.29968,0.3112485,2,0.41983628358794667
-124.14,46.9,0.3467309138321995,2.60468,0.4998547,-1,0.4907365097658759
-124.14,47.03,0.5610166281179139,2.20293,0.440712,4,0.3893011685262111
-124.13,44.12,2.193400167800453,2.35451,2.0282645,-4,0.46264375676895875
-124.13,46.96,0.5610166281179139,2.69408,0.4160848,10,0.48423975395880503
-124.12,40.11,2.168650378684807,1.85671,14.0252333,123,0.4051874701788022
-124.12,44.2,1.9761904761904765,2.3962,3.9609497,7,0.4662145669072372
-124.11,41.03,3.555210489795918,2.0217,5.004107,44,0.40051486221768
-124.11,41.22,4.034096197278911,2.0266,5.2565918,51,0.40654842455028084
-124.11,44.29,2.2648287392290247,2.4448,7.9988446,94,0.46271193608089306
-124.11,46.83,0.3784769455782312,2.56105,0.3917456,-1,0.4871061180520576
-124.1,41.57,2.741547696145125,2.075,7.3635173,7,0.40853529986742954
-124.1,48.22,0.5267857142857142,2.19619,7.2668796,-28,0.4055913822303867
-124.09,41.31,3.210683498866213,2.0377,5.3579431,25,0.40721158626688014
-124.09,44.37,2.46277458276644,2.48405,0.5685276,10,0.4861918230601443
-124.09,44.41,2.46277458276644,2.50241,0.9207456,1,0.47560992982272693
-124.08,41.52,3.1630644512471653,2.069,8.1630812,54,0.40853529986742954
-124.08,41.54,3.1630644512471653,2.07271,1.4656445,19,0.39652741593470486
-124.08,44.51,2.8119809319727893,2.492,1.9189655,-2,0.4785497123158162
-124.08,44.68,2.296107916099773,2.4833,0.8461245,-8,0.48961856862227443
-124.08,46.26,0.4049319727891156,2.44072,0.5540033,-17,0.46230190961180495
-124.08,46.72,0.4022864693877551,2.55843,0.1871095,-8,0.48432270130981864
-124.08,46.86,0.3467309138321995,1.975,0.4026124,8,0.3880191884230975
-124.07,40.02,2.2321424421768703,1.865,2.0092907,-13,0.39885673465992355
-124.07,41.38,3.2110141859410426,2.0485,5.8213315,60,0.407573129402045
-124.07,41.46,3.1630644512471653,2.05935,4.6056228,24,0.4067380382707122
-124.07,44.61,2.438965058956916,2.47602,2.2773044,-16,0.4955172017526948
-124.07,44.63,2.438965058956916,2.47585,1.5484672,-3,0.4908054443877999
-124.07,44.69,2.296107916099773,2.4848,2.3027997,3,0.49287631224220535
-124.07,44.8,2.288171408163265,2.50141,2.7367663,16,0.48312622797507554
-124.07,46.29,0.4049319727891156,2.379,1.8254714,14,0.4705692851629702
-124.07,46.64,0.3943499614512471,2.51572,0.3462586,-2,0.4888960676819798
-124.06,44.66,2.296107916099773,2.48,1.5018144,4,0.4914470164157719
-124.06,44.75,2.288171408163265,2.50881,5.8736224,49,0.48819642092973214
-124.06,46.28,0.4049319727891156,2.39122,1.5390009,6,0.46763950551845607
-124.06,46.34,0.4049319727891156,2.392,0.4802842,2,0.46704707718854155
-124.06,46.44,0.3070483741496598,2.41755,0.635062,-3,0.46253079846565115
-124.06,46.54,0.4022864693877551,2.4442,0.4964855,4,0.4629587664803364
-124.05,44.84,2.288171408163265,2.47324,2.4789126,6,0.4961587737806668
