X,Y,SLR,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK
-124.6574731,48.36485975,-3,0.0508278,4137999104,0.0342052,101937.3438,101510.3203,285.4805603,-0.9626818
-124.6174731,48.40485975,-3,0.0512381,4136062208,0.0341977,101939.0313,101118.6797,285.1407471,-0.9626818
-124.6174731,48.36485975,-3,0.0512381,4136062208,0.0341977,101939.0313,101118.6797,285.1407471,-0.9626818
-124.61,48.37,-3,0.0512381,4136062208,0.0341977,101939.0313,101118.6797,285.1407471,-0.9626818
-124.5774731,48.40485975,-3,0.0512381,4136062208,0.0341977,101939.0313,101118.6797,285.1407471,-0.9626818
-124.5774731,48.36485975,-3,0.0512381,4136062208,0.0341977,101939.0313,101118.6797,285.1407471,-0.9626818
-124.5374731,42.76485975,3,0.0206835,4594755584,0.034202,102113.7266,101681.4219,287.7477112,-0.4551352
-124.5374731,42.72485975,3,0.0212799,4598471168,0.034202,102111.3906,101392.3438,287.6055603,-0.3317069
-124.5,42.74,3,0.0212799,4598471168,0.034202,102111.3906,101392.3438,287.6055603,-0.4551352
-124.4974731,42.76485975,3,0.0206835,4594755584,0.034202,102113.7266,101681.4219,287.7477112,-0.4551352
-124.4974731,42.72485975,3,0.0212799,4598471168,0.034202,102111.3906,101392.3438,287.6055603,-0.3317069
-124.4574731,42.76485975,3,0.0206835,4594755584,0.034202,102113.7266,101681.4219,287.7477112,-0.5329153
-124.4574731,42.72485975,3,0.0212799,4598471168,0.034202,102111.3906,101392.3438,287.6055603,-0.3475205
-124.3774731,43.32485975,3,0.0181434,4259884544,0.0341678,102112.9297,101598.1719,288.0559692,-0.5741374
-124.3374731,43.36485975,3,0.0180432,4249114624,0.0341467,102107.6094,101257.7422,288.164093,-0.5391987
-124.3374731,43.32485975,3,0.0183363,4270063872,0.0341467,102114.1484,101051.7031,288.1351013,-0.5599756
-124.32,43.34,3,0.0183363,4270063872,0.0341467,102114.1484,101051.7031,288.1351013,-0.5391987
