X,Y,SLR,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK
-98.01747315,28.00485975,21,0.0960052,1153067264,0.0364667,101932.5625,101293.2578,301.7413635,-0.5240095
-98.01747315,27.96485975,21,0.0960052,1153067264,0.0364667,101932.5625,101293.2578,301.7413635,-0.5240095
-98.01747315,26.00485975,19,0.111463,1598673536,0.0364683,101861.8984,101456.8594,301.5361633,-0.5064272
-98.01747315,25.96485975,19,0.111463,1598673536,0.0364683,101861.8984,101456.8594,301.5361633,-0.5064272
-98,28,21,0.0960052,1153067264,0.0364667,101932.5625,101293.2578,301.7413635,-0.5240095
-98,26,19,0.111463,1598673536,0.0364683,101861.8984,101456.8594,301.5361633,-0.5064272
-97.97747315,28.00485975,21,0.0960052,1153067264,0.0364667,101932.5625,101293.2578,301.7413635,-0.5240095
-97.97747315,27.96485975,21,0.0960052,1153067264,0.0364667,101932.5625,101293.2578,301.7413635,-0.5240095
-97.97747315,26.00485975,19,0.111463,1598673536,0.0364683,101861.8984,101456.8594,301.5361633,-0.5064272
-97.97747315,25.96485975,19,0.111463,1598673536,0.0364683,101861.8984,101456.8594,301.5361633,-0.5064272
-97.45747315,26.56485975,20,0.1111633,2203857408,0.0364721,101860.9688,101849.9609,301.6131897,-0.5906218
-97.45747315,26.52485975,20,0.1117314,2209332736,0.0364721,101869.1094,101837.0547,301.5985413,-0.5871329
-97.42,26.55,20,0.1121381,2336580864,0.0364705,101865.9063,101862.1719,301.6395569,-0.5906218
-97.41747315,26.56485975,20,0.1121381,2336580864,0.0364705,101865.9063,101862.1719,301.6395569,-0.5906218
-97.41747315,26.52485975,20,0.1126584,2334989312,0.0364705,101868.4063,101854.2422,301.6216125,-0.5871329
-97.37747315,26.56485975,20,0.1121381,2336580864,0.0364705,101865.9063,101862.1719,301.6395569,-0.5906218
-97.25747315,27.60485975,23,0.099467,2234616832,0.0364583,101901.5391,101865.8438,301.8892822,-0.6728974
-97.25747315,27.56485975,23,0.099467,2234616832,0.0364583,101901.5391,101865.8438,301.8892822,-0.6728974
-97.25747315,26.08485975,21,0.1134339,2741146368,0.0364686,101855.9531,101833.0781,301.575531,-0.6376952
-97.25747315,26.04485975,21,0.1130843,2790838528,0.0364686,101859.0625,101832.8672,301.5758057,-0.6376952
-97.22,26.06,21,0.1136482,2985731840,0.0364671,101860.75,101825.2031,301.6351929,-0.6376952
-97.22,27.58,23,0.0991784,2373834752,0.0364567,101909.0313,101873.2266,301.9041138,-0.6728974
-97.21747315,27.60485975,23,0.0991784,2373834752,0.0364567,101909.0313,101873.2266,301.9041138,-0.6728974
-97.21747315,27.56485975,23,0.0991784,2373834752,0.0364567,101909.0313,101873.2266,301.9041138,-0.6728974
-97.21747315,26.08485975,21,0.1136482,2985731840,0.0364671,101860.75,101825.2031,301.6351929,-0.6376952
-97.21747315,26.04485975,21,0.1129565,3036567040,0.0364671,101863.8203,101822.2656,301.6332397,-0.6376952
-97.17747315,27.56485975,23,0.0991784,2373834752,0.0364567,101909.0313,101873.2266,301.9041138,-0.6728974
-97.17747315,26.08485975,21,0.1136482,2985731840,0.0364671,101860.75,101825.2031,301.6351929,-0.6376952
-97.17747315,26.04485975,21,0.1129565,3036567040,0.0364671,101863.8203,101822.2656,301.6332397,-0.6376952
-97.15,26.07,21,0.1136482,2985731840,0.0364671,101860.75,101825.2031,301.6351929,-0.6011583
-97.13747315,26.08485975,21,0.1138709,3291130112,0.036466,101859.4297,101806.375,301.7008362,-0.6011583
-97.13747315,26.04485975,21,0.1127627,3342928640,0.036466,101860.7813,101796.9453,301.7020264,-0.6011583
-97.09747315,28.00485975,25,0.0929374,2217891072,0.0364567,101934.1953,101835.4688,301.9377747,-0.6769963
-97.05747315,28.04485975,25,0.0929374,2217891072,0.0364574,101934.1953,101835.4688,301.9377747,-0.7181285
-97.05747315,28.00485975,25,0.0929374,2217891072,0.0364567,101934.1953,101835.4688,301.9377747,-0.7128057
-97.05,28.02,25,0.0929374,2217891072,0.0364574,101934.1953,101835.4688,301.9377747,-0.7128057
-97.01747315,28.04485975,25,0.0893143,2596215296,0.0364561,101934.0078,101826.4297,301.9677734,-0.7181285
-97.01747315,28.00485975,25,0.0893143,2596215296,0.0364555,101934.0078,101826.4297,301.9677734,-0.7128057
-96.01747315,28.00485975,29,0.0823276,5172869632,0.0364559,101960.5625,101946.9531,302.2052307,-0.9105961
-96.01747315,27.96485975,29,0.0823276,5172869632,0.0364559,101960.5625,101946.9531,302.2052307,-0.9105961
-96.01747315,30.00485975,26,0.0710946,955707264,0.0365139,102050.6953,101238.1797,302.526062,-1.0139455
-96.01747315,29.96485975,26,0.0710946,955707264,0.0365139,102050.6953,101238.1797,302.526062,-1.0139455
-96,30,26,0.0710946,955707264,0.0365139,102050.6953,101238.1797,302.526062,-1.0139455
-96,28,29,0.0823276,5172869632,0.0364559,101960.5625,101946.9531,302.2052307,-0.9105961
-95.97747315,28.00485975,29,0.0823276,5172869632,0.0364559,101960.5625,101946.9531,302.2052307,-0.9105961
-95.97747315,27.96485975,29,0.0823276,5172869632,0.0364559,101960.5625,101946.9531,302.2052307,-0.9105961
-95.97747315,30.00485975,26,0.0710946,955707264,0.0365139,102050.6953,101238.1797,302.526062,-1.0139455
-95.97747315,29.96485975,26,0.0710946,955707264,0.0365139,102050.6953,101238.1797,302.526062,-1.0139455
-95.33747315,28.96485975,29,0.0711862,2697659392,0.0364939,102006.7969,101924.0703,302.5453796,-1.1663089
-95.33747315,28.92485975,29,0.0706466,2938890752,0.0364939,102001.1484,101935.0313,302.571106,-1.1620413
-95.31,28.95,29,0.0711862,2697659392,0.0364939,102006.7969,101924.0703,302.5453796,-1.1663089
-95.29747315,28.96485975,29,0.0711862,2697659392,0.0364939,102006.7969,101924.0703,302.5453796,-1.1663089
-95.29747315,28.92485975,29,0.0706466,2938890752,0.0364939,102001.1484,101935.0313,302.571106,-1.1620413
-94.81747315,29.32485975,27,0.0746448,2538738432,0.0365215,102012.7813,101982.8359,302.5207214,-1.1849372
-94.81747315,29.28485975,27,0.0746448,2538738432,0.036519,102012.7813,101982.8359,302.5207214,-1.1849372
-94.79,29.31,27,0.0746448,2538738432,0.036519,102012.7813,101982.8359,302.5207214,-1.1849372
-94.79,29.29,27,0.0746448,2538738432,0.036519,102012.7813,101982.8359,302.5207214,-1.1849372
-94.77747315,29.32485975,27,0.0746448,2538738432,0.0365215,102012.7813,101982.8359,302.5207214,-1.1849372
-94.77747315,29.28485975,27,0.0746448,2538738432,0.036519,102012.7813,101982.8359,302.5207214,-1.1849372
-94.01747315,30.00485975,23,0.05555,1172203776,0.0365415,102045.0625,101932.9453,302.6558838,-1.0368658
-94.01747315,29.96485975,23,0.05555,1172203776,0.0365415,102045.0625,101932.9453,302.6558838,-1.0368658
-94,30,23,0.05555,1172203776,0.0365415,102045.0625,101932.9453,302.6558838,-1.0368658
-93.97747315,30.00485975,23,0.05555,1172203776,0.0365415,102045.0625,101932.9453,302.6558838,-1.0368658
-93.97747315,29.96485975,23,0.05555,1172203776,0.0365415,102045.0625,101932.9453,302.6558838,-1.0368658
-93.89747315,29.76485975,24,0.0535682,1279738112,0.036537,102037.3359,101975.5703,302.6190186,-1.1245279
-93.89747315,29.72485975,24,0.0538071,1368299392,0.036537,102026.3281,101988.4922,302.6536255,-1.1344166
-93.87,29.73,24,0.0538071,1368299392,0.036537,102026.3281,101988.4922,302.6536255,-1.1344166
-93.85747315,29.76485975,24,0.0535682,1279738112,0.036537,102037.3359,101975.5703,302.6190186,-1.1112839
-93.85747315,29.72485975,24,0.0538071,1368299392,0.036537,102026.3281,101988.4922,302.6536255,-1.121328
-92.01747315,30.00485975,30,0.0547207,1156898304,0.0365597,102050.1172,101985.6016,302.7456055,-1.0870872
-92.01747315,29.96485975,30,0.0547207,1156898304,0.0365597,102050.1172,101985.6016,302.7456055,-1.0870872
-92,30,30,0.0547207,1156898304,0.0365597,102050.1172,101985.6016,302.7456055,-1.0870872
-91.97747315,30.00485975,30,0.0547207,1156898304,0.0365597,102050.1172,101985.6016,302.7456055,-1.0870872
-91.97747315,29.96485975,30,0.0547207,1156898304,0.0365597,102050.1172,101985.6016,302.7456055,-1.0870872
-91.41747315,29.40485975,34,0.0612183,1783983616,0.0365363,102017.5703,102012.4766,302.6604004,-1.1424704
-91.41747315,29.36485975,34,0.0612183,1783983616,0.0365363,102017.5703,102012.4766,302.6604004,-1.1424704
-91.39,29.37,34,0.0612183,1783983616,0.0365363,102017.5703,102012.4766,302.6604004,-1.1424704
-91.37747315,29.40485975,34,0.0612183,1783983616,0.0365363,102017.5703,102012.4766,302.6604004,-1.1424704
-91.37747315,29.36485975,34,0.0612183,1783983616,0.0365363,102017.5703,102012.4766,302.6604004,-1.1424704
-90.01747315,30.00485975,30,0.0880034,2234126080,0.0364118,102103.375,102061.7344,302.5867004,-1.0802963
-90.01747315,29.96485975,30,0.0880034,2234126080,0.0364118,102103.375,102061.7344,302.5867004,-1.0802963
-90,30,30,0.0880034,2234126080,0.0364118,102103.375,102061.7344,302.5867004,-1.0802963
-89.97747315,30.00485975,30,0.0880034,2234126080,0.0364118,102103.375,102061.7344,302.5867004,-1.0802963
-89.97747315,29.96485975,30,0.0880034,2234126080,0.0364118,102103.375,102061.7344,302.5867004,-1.0802963
-89.97747315,29.28485975,32,0.0836187,4036120576,0.0364028,102071.7734,102074.0547,302.9060669,-1.0847652
-89.97747315,29.24485975,32,0.0842362,4502099456,0.0364028,102067.2969,102068.6641,302.9225464,-1.0847652
-89.96,29.26,32,0.0836187,4036120576,0.0364028,102071.7734,102074.0547,302.9060669,-1.0749643
-89.93747315,29.28485975,32,0.087449,4110652672,0.0363963,102076.9141,102075.0859,302.8700867,-1.0749643
-89.93747315,29.24485975,32,0.0859667,4628502528,0.0363963,102067.1563,102070.0313,302.9045105,-1.0749643
-88.09747315,30.28485975,20,0.1441433,5223039488,0.036308,102066.9375,102002.6953,302.2377014,-0.6709931
-88.09747315,30.24485975,20,0.1440616,5180028928,0.036308,102065.0156,102032.1094,302.2942505,-0.6709931
-88.08,30.25,20,0.1441433,5223039488,0.036308,102066.9375,102002.6953,302.2377014,-0.6709931
-88.05747315,30.28485975,20,0.1441433,5223039488,0.036308,102066.9375,102002.6953,302.2377014,-0.6747159
-88.05747315,30.24485975,20,0.1440616,5180028928,0.036308,102065.0156,102032.1094,302.2942505,-0.6747159
-88.01747315,30.00485975,21,0.1428003,5404789760,0.0363114,102050.4063,102035.1016,302.3566895,-0.7599283
-88.01747315,29.96485975,21,0.1428003,5404789760,0.0363114,102050.4063,102035.1016,302.3566895,-0.7599283
-88,30,21,0.1428003,5404789760,0.0363114,102050.4063,102035.1016,302.3566895,-0.7599283
