X,Y,SLR,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK
-79.93747315,32.80485975,10,0.3794335,593322176,0.0364693,102049.4141,101953.8906,300.996521,-0.6883202
-79.93747315,32.76485975,10,0.3794335,593322176,0.0364693,102049.4141,101953.8906,300.996521,-0.6883202
-79.92,32.78,10,0.3794335,593322176,0.0364693,102049.4141,101953.8906,300.996521,-0.6883202
-79.89747315,32.80485975,10,0.3794335,593322176,0.0364693,102049.4141,101953.8906,300.996521,-0.6883202
-79.89747315,32.76485975,10,0.3794335,593322176,0.0364693,102049.4141,101953.8906,300.996521,-0.6883202
-78.93747315,33.68485975,10,0.323601,160974096,0.0363701,102079.9609,101970.2422,300.5403137,-0.782922
-78.93747315,33.64485975,10,0.3230793,301352192,0.0363701,102088.7656,101990.2109,300.5410461,-0.782922
-78.92,33.66,10,0.323601,160974096,0.0363701,102079.9609,101970.2422,300.5403137,-0.782922
-78.89747315,33.68485975,10,0.323601,160974096,0.0363701,102079.9609,101970.2422,300.5403137,-0.782922
-78.89747315,33.64485975,10,0.3230793,301352192,0.0363701,102088.7656,101990.2109,300.5410461,-0.782922
-78.01747315,34.00485975,10,0.3461227,1168114816,0.0363278,102069.6953,101956.8828,300.6113892,-0.6639472
-78.01747315,33.96485975,10,0.3461227,1168114816,0.0363278,102069.6953,101956.8828,300.6113892,-0.6639472
-78,34,10,0.3461227,1168114816,0.0363278,102069.6953,101956.8828,300.6113892,-0.6639472
-77.97747315,34.24485975,9,0.3544759,978351296,0.0363204,102090.4063,101962.2188,300.5370178,-0.6736035
-77.97747315,34.20485975,9,0.3544759,978351296,0.036323,102090.4063,101962.2188,300.5370178,-0.6640505
-77.97747315,34.00485975,10,0.3461227,1168114816,0.0363278,102069.6953,101956.8828,300.6113892,-0.6639472
-77.97747315,33.96485975,10,0.3461227,1168114816,0.0363278,102069.6953,101956.8828,300.6113892,-0.6639472
-77.95,34.23,9,0.3544759,978351296,0.0363204,102090.4063,101962.2188,300.5370178,-0.6837304
-77.93747315,34.24485975,9,0.3560354,1116186368,0.0363217,102090.2656,101982.4297,300.52948,-0.6779913
-77.93747315,34.20485975,9,0.3560354,1116186368,0.0363239,102090.2656,101982.4297,300.52948,-0.6837304
-77.49747315,37.56485975,11,0.2055634,-384090592,0.0359529,102062.2422,101407.1875,299.634491,-0.9753055
-77.45747315,37.60485975,11,0.2055634,-384090592,0.0359529,102062.2422,101407.1875,299.634491,-0.9673151
-77.45747315,37.56485975,11,0.2055634,-384090592,0.0359529,102062.2422,101407.1875,299.634491,-0.9673151
-77.45,37.57,11,0.2055634,-384090592,0.0359529,102062.2422,101407.1875,299.634491,-0.9673151
-77.41747315,37.60485975,11,0.2084782,-297957696,0.0359834,102043.3125,101523.4375,299.6058655,-0.9673151
-77.41747315,37.56485975,11,0.2084782,-297957696,0.0359834,102043.3125,101523.4375,299.6058655,-0.9673151
-77.05747315,38.88485975,11,0.0532698,276265792,0.0358345,102051.8828,101492.6172,299.0516968,-0.9634759
-77.05747315,38.84485975,11,0.0872854,338773792,0.0358345,102058.0234,101529.7969,299.1028748,-0.9634759
-77.02,38.87,11,0.0546912,329440928,0.0358403,102062.3438,101459.5156,299.0128479,-0.9634759
-77.01747315,38.88485975,11,0.0546912,329440928,0.0358403,102062.3438,101459.5156,299.0128479,-0.9634759
-77.01747315,38.84485975,11,0.0875422,392273440,0.0358403,102068.7188,101479.5313,299.0666199,-0.9634759
-76.97747315,38.88485975,11,0.0546912,329440928,0.0358403,102062.3438,101459.5156,299.0128479,-0.9634759
-76.97747315,38.84485975,11,0.0875422,392273440,0.0358403,102068.7188,101479.5313,299.0666199,-0.9634759
-76.69747315,34.72485975,11,0.3656863,2236653568,0.0363303,102067.5,102045.6094,300.6526184,-0.546649
-76.69747315,34.68485975,11,0.3656863,2236653568,0.0363401,102067.5,102045.6094,300.6526184,-0.546649
-76.67,34.72,11,0.3656863,2236653568,0.0363303,102067.5,102045.6094,300.6526184,-0.546649
-76.65747315,34.72485975,11,0.3656863,2236653568,0.0363303,102067.5,102045.6094,300.6526184,-0.5450987
-76.65747315,34.68485975,11,0.3656863,2236653568,0.0363401,102067.5,102045.6094,300.6526184,-0.5450987
-76.61747315,34.72485975,11,0.3647145,2437306880,0.0363367,102068.3516,102045.8906,300.6887817,-0.5450987
-76.61747315,39.28485975,11,0.0289452,-1081870.75,0.0358199,102082.6875,101237.3594,298.4754028,-0.9703479
-76.61747315,39.24485975,11,0.0362112,409483136,0.0358199,102076.0625,101389.4766,298.5527954,-0.9703479
-76.58,39.27,11,0.0289452,-1081870.75,0.0358199,102082.6875,101237.3594,298.4754028,-0.9703479
-76.57747315,39.28485975,11,0.0289452,-1081870.75,0.0358199,102082.6875,101237.3594,298.4754028,-0.9703479
-76.57747315,39.24485975,11,0.0362112,409483136,0.0358199,102076.0625,101389.4766,298.5527954,-0.9703479
-76.53747315,39.28485975,11,0.0302276,70296048,0.0358252,102076.6016,101435.4609,298.411499,-0.9765671
-76.53747315,39.24485975,11,0.0375181,143465008,0.0358252,102072.7109,101540.2109,298.488739,-0.9765671
-76.53747315,37.24485975,13,0.3015505,766475776,0.036047,102106.3672,101950.9531,299.8945618,-1.0925882
-76.5,37.25,13,0.277789,699205824,0.036047,102106.8906,101941.8828,299.777771,-1.0925882
-76.49747315,39.00485975,12,0.0533291,576480320,0.0358614,102020.3672,101675.0781,298.6509399,-1.0691295
-76.49747315,38.96485975,12,0.0533291,576480320,0.0358614,102020.3672,101675.0781,298.6509399,-1.0691295
-76.49747315,38.32485975,12,0.1393469,709578944,0.0359427,102090.1406,101873.7656,299.0808716,-0.9564037
-76.49747315,37.28485975,13,0.277789,699205824,0.036047,102106.8906,101941.8828,299.777771,-1.0925882
-76.49747315,37.24485975,13,0.3015505,766475776,0.036047,102106.3672,101950.9531,299.8945618,-1.0925882
-76.48,38.98,12,0.0533291,576480320,0.0358614,102020.3672,101675.0781,298.6509399,-1.0691295
-76.45747315,39.00485975,12,0.0533291,576480320,0.0358614,102020.3672,101675.0781,298.6509399,-1.0734885
-76.45747315,38.96485975,12,0.0533291,576480320,0.0358614,102020.3672,101675.0781,298.6509399,-1.0734885
-76.45747315,38.32485975,12,0.1393469,709578944,0.0359427,102090.1406,101873.7656,299.0808716,-0.9803081
-76.45747315,38.28485975,12,0.1393469,709578944,0.0359498,102090.1406,101873.7656,299.0808716,-0.9803081
-76.45747315,37.24485975,13,0.3015505,766475776,0.036047,102106.3672,101950.9531,299.8945618,-1.0948727
-76.45,38.32,12,0.1393469,709578944,0.0359427,102090.1406,101873.7656,299.0808716,-0.9803081
-76.41747315,38.32485975,12,0.1402035,797982528,0.035949,102083.6484,101895.1172,299.0613098,-0.9803081
-76.41747315,38.28485975,12,0.1402035,797982528,0.0359567,102083.6484,101895.1172,299.0613098,-0.9803081
-76.37747315,36.96485975,13,0.3436244,1607945344,0.0360895,102096.9375,101960.4219,300.2674866,-1.1382451
-76.33747315,36.80485975,13,0.3873993,1760944512,0.0361221,102053.2422,101934.0859,300.4127808,-1.0990584
-76.33747315,36.96485975,13,0.3513349,1653344640,0.0360969,102093.0703,101975.2813,300.2130127,-1.1099647
-76.33747315,36.92485975,13,0.3708491,1703661696,0.0360969,102074.4688,101953.7578,300.2669983,-1.0979667
-76.33,36.95,13,0.3513349,1653344640,0.0360969,102093.0703,101975.2813,300.2130127,-1.1099647
-76.29747315,36.84485975,13,0.3873993,1760944512,0.0361078,102053.2422,101934.0859,300.4127808,-1.0979667
-76.29747315,36.80485975,13,0.3873993,1760944512,0.0361221,102053.2422,101934.0859,300.4127808,-1.0990584
-76.29747315,36.96485975,13,0.3513349,1653344640,0.0360969,102093.0703,101975.2813,300.2130127,-1.1099647
-76.29747315,36.92485975,13,0.3708491,1703661696,0.0360969,102074.4688,101953.7578,300.2669983,-1.0979667
