X,Y,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK,SLR_predicted,mm/year
-79.925,32.7817,0.3794335,593322176.0,0.0364693,102049.4141,101953.8906,300.996521,-0.6883202,21.09375,10.044642857142856
-79.90620893,32.76055979,0.3794335,593322176.0,0.0364693,102049.4141,101953.8906,300.996521,-0.6883202,21.09375,10.044642857142856
-79.90620893,32.82055979,0.3794335,593322176.0,0.0364694,102049.4141,101953.8906,300.996521,-0.6883202,21.09375,10.044642857142856
-78.94620893,33.66055979,0.323601,160974096.0,0.0363701,102079.9609,101970.2422,300.5403137,-0.782922,20.725,9.869047619047619
-78.9183,33.655,0.323601,160974096.0,0.0363701,102079.9609,101970.2422,300.5403137,-0.782922,20.725,9.869047619047619
-78.88620893,33.66055979,0.323601,160974096.0,0.0363701,102079.9609,101970.2422,300.5403137,-0.782922,20.725,9.869047619047619
-77.98620893,34.20055979,0.3544759,978351296.0,0.036323,102090.4063,101962.2188,300.5370178,-0.6640505,20.554166666666667,9.787698412698413
-77.98620893,34.26055979,0.3619195,825132608.0,0.0363204,102094.4922,101959.8281,300.5130005,-0.6736035,20.63125,9.824404761904761
-77.9533,34.2267,0.3544759,978351296.0,0.0363204,102090.4063,101962.2188,300.5370178,-0.6837304,20.554166666666667,9.787698412698413
-77.92620893,34.20055979,0.3560354,1116186368.0,0.0363239,102090.2656,101982.4297,300.52948,-0.6837304,20.56041666666667,9.790674603174603
-77.92620893,34.26055979,0.3625941,958227008.0,0.0363217,102085.375,101979.9453,300.518158,-0.6779913,20.546875,9.784226190476188
-77.80620893,34.20055979,0.3570983,1224206464.0,0.0363252,102060.8047,102004.2734,300.5949097,-0.6829772,21.0875,10.041666666666666
-77.7867,34.2133,0.3570983,1224206464.0,0.0363252,102060.8047,102004.2734,300.5949097,-0.6829772,21.0875,10.041666666666666
-77.74620893,34.20055979,0.35785,1386304896.0,0.0363267,102059.4219,102017.5156,300.5948792,-0.6276818,21.00625,10.00297619047619
-77.08620893,38.34055979,0.1349148,-408613856.0,0.0359054,102033.4844,101713.4141,299.2145081,-0.9365665,21.01875,10.008928571428571
-77.0634,34.6677,0.3724629,1504028928.0,0.0363236,102068.3047,101976.7031,300.4992676,-0.5405946,21.11875,10.056547619047619
-77.0367,38.32,0.1356618,-311964032.0,0.0359076,102049.2266,101754.6484,299.1903076,-0.9374039,21.3,10.142857142857142
-77.02620893,38.28055979,0.1356618,-311964032.0,0.035921,102049.2266,101754.6484,299.1903076,-0.9374039,21.3,10.142857142857142
-77.02620893,38.34055979,0.1356618,-311964032.0,0.0359076,102049.2266,101754.6484,299.1903076,-0.9392236,21.3,10.142857142857142
-77.02620893,38.88055979,0.0546912,329440928.0,0.0358403,102062.3438,101459.5156,299.0128479,-0.9634759,20.95625,9.979166666666664
-77.02167,38.87333,0.0546912,329440928.0,0.0358403,102062.3438,101459.5156,299.0128479,-0.9634759,20.95625,9.979166666666664
-76.96620893,38.88055979,0.0546912,329440928.0,0.0358403,102062.3438,101459.5156,299.0128479,-0.9668477,20.95625,9.979166666666664
-76.791453,37.220139,0.285016,495444736.0,0.0360279,102096.4375,101852.7813,300.1199341,-1.0711932,21.95,10.45238095238095
-76.78620893,37.20055979,0.285016,495444736.0,0.0360379,102096.4375,101852.7813,300.1199341,-1.0711932,21.95,10.45238095238095
-76.78620893,37.26055979,0.272293,424267008.0,0.0360279,102098.6484,101858.3984,299.9638367,-1.0692561,21.6875,10.327380952380953
-76.67,34.72,0.3656863,2236653568.0,0.0363303,102067.5,102045.6094,300.6526184,-0.546649,21.03125,10.014880952380953
-76.66620893,34.68055979,0.3656863,2236653568.0,0.0363401,102067.5,102045.6094,300.6526184,-0.5450987,21.03125,10.014880952380953
-76.66620893,34.74055979,0.3656863,2236653568.0,0.0363303,102067.5,102045.6094,300.6526184,-0.589708,21.03125,10.014880952380953
-76.610556,36.056389,0.4246155,1977984128.0,0.036193,102115.7344,101996.9063,300.913269,-0.9970323,22.8,10.857142857142858
-76.60620893,36.06055979,0.4246155,1977984128.0,0.036193,102115.7344,101996.9063,300.913269,-0.9970323,22.8,10.857142857142858
-76.60620893,39.24055979,0.0362112,409483136.0,0.0358199,102076.0625,101389.4766,298.5527954,-0.9703479,20.95625,9.979166666666664
