X,Y,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK,SLR_predicted,mm/year
-97.48620893,27.84055979,0.0968766,1739334656,0.0364608,101904.8125,101768.1406,301.9344788,-0.6031096,20.09,9.566666666666666
-97.48594,27.83275,0.0968766,1739334656,0.0364608,101904.8125,101768.1406,301.9344788,-0.6003585,20.09,9.566666666666666
-97.42620893,27.30055979,0.1049183,2273046784,0.0364609,101880.1719,101871.2266,301.8710632,-0.6239147,20.12,9.58095238095238
-97.42620893,27.84055979,0.0965059,1873233024,0.0364595,101904.7734,101814.5625,301.8450928,-0.6230326,19.96,9.504761904761905
-97.40517,27.297,0.1049183,2273046784,0.0364609,101880.1719,101871.2266,301.8710632,-0.6239147,20.12,9.58095238095238
-97.3891983,27.81489944,0.0965059,1873233024,0.0364595,101904.7734,101814.5625,301.8450928,-0.6201736,19.96,9.504761904761905
-97.389167,27.815,0.0965059,1873233024,0.0364595,101904.7734,101814.5625,301.8450928,-0.6201736,19.96,9.504761904761905
-97.36620893,27.30055979,0.1049183,2273046784,0.0364609,101880.1719,101871.2266,301.8710632,-0.6439503,20.11,9.576190476190476
-97.36620893,27.48055979,0.1015131,2150395136,0.0364598,101903.6406,101856.1016,301.8876343,-0.649159,20.09,9.566666666666666
-97.36620893,27.78055979,0.0965059,1873233024,0.0364595,101904.7734,101814.5625,301.8450928,-0.64,19.95,9.5
-97.36620893,27.84055979,0.0965059,1873233024,0.0364595,101904.7734,101814.5625,301.8450928,-0.6429886,19.95,9.5
-97.31811,27.48436,0.1013506,2282241280,0.0364582,101902.625,101874.7578,301.8813782,-0.649159,20.1,9.571428571428571
-97.30620893,27.48055979,0.1013506,2282241280,0.0364582,101902.625,101874.7578,301.8813782,-0.649159,20.1,9.571428571428571
-97.24620893,26.04055979,0.1129565,3036567040,0.0364671,101863.8203,101822.2656,301.6332397,-0.6376952,19.71,9.385714285714286
-97.24620893,27.60055979,0.0991784,2373834752,0.0364567,101909.0313,101873.2266,301.9041138,-0.6728974,20.25,9.642857142857142
-97.24620893,27.66055979,0.0973709,2251234304,0.0364566,101912.7031,101868.6016,301.9128723,-0.6761982,20.25,9.642857142857142
-97.2367,27.6333,0.0991784,2373834752,0.0364566,101909.0313,101873.2266,301.9041138,-0.6728974,20.25,9.642857142857142
-97.2167,27.58,0.0991784,2373834752,0.0364567,101909.0313,101873.2266,301.9041138,-0.6728974,20.25,9.642857142857142
-97.215,26.06,0.1136482,2985731840,0.0364671,101860.75,101825.2031,301.6351929,-0.6376952,19.85,9.45238095238095
-97.18620893,26.04055979,0.1129565,3036567040,0.0364671,101863.8203,101822.2656,301.6332397,-0.6376952,19.76,9.40952380952381
-97.18620893,26.10055979,0.1136482,2985731840,0.0364671,101860.75,101825.2031,301.6351929,-0.6376952,19.9,9.476190476190474
-97.18620893,27.60055979,0.0991784,2373834752,0.0364567,101909.0313,101873.2266,301.9041138,-0.6728974,20.3,9.666666666666666
-97.1767,26.0767,0.1136482,2985731840,0.0364671,101860.75,101825.2031,301.6351929,-0.6376952,19.91,9.480952380952381
-97.1548,26.0675,0.1136482,2985731840,0.0364671,101860.75,101825.2031,301.6351929,-0.6011583,19.94,9.495238095238095
-97.12620893,26.04055979,0.1127627,3342928640,0.036466,101860.7813,101796.9453,301.7020264,-0.6011583,19.92,9.485714285714286
-97.12620893,26.10055979,0.1138709,3291130112,0.036466,101859.4297,101806.375,301.7008362,-0.6011583,19.94,9.495238095238095
-97.0733,27.8383,0.0951344,2413175552,0.0364561,101919.1797,101863.5781,301.9150696,-0.6660687,20.28,9.657142857142857
-97.06620893,27.84055979,0.0951344,2413175552,0.0364561,101919.1797,101863.5781,301.9150696,-0.7075098,20.45,9.738095238095237
-97.06620893,28.02055979,0.0929374,2217891072,0.0364574,101934.1953,101835.4688,301.9377747,-0.7128057,21.08,10.038095238095234
-97.0466667,28.0216667,0.0893143,2596215296,0.0364561,101934.0078,101826.4297,301.9677734,-0.7128057,21.26,10.123809523809525
-97.0391,27.8366,0.0945702,2804381696,0.0364547,101914.4531,101867.3125,301.9426575,-0.7075098,20.38,9.704761904761904
-97.00620893,27.84055979,0.0945702,2804381696,0.0364547,101914.4531,101867.3125,301.9426575,-0.7075098,20.38,9.704761904761904
-97.00620893,28.02055979,0.0893143,2596215296,0.0364561,101934.0078,101826.4297,301.9677734,-0.7128057,21.26,10.123809523809525
-96.82620893,28.20055979,0.0851098,2481277952,0.0364559,101943.6719,101865.9375,302.1768188,-0.7759944,21.5,10.238095238095237
-96.82620893,28.26055979,0.083642,2242091520,0.0364619,101951.0938,101858.6094,302.2131348,-0.7802547,21.37,10.176190476190476
-96.795,28.2283,0.0851098,2481277952,0.0364619,101943.6719,101865.9375,302.1768188,-0.7759944,21.38,10.18095238095238
-96.76620893,28.20055979,0.0851098,2481277952,0.0364559,101943.6719,101865.9375,302.1768188,-0.7933395,21.5,10.238095238095237
-96.76620893,28.26055979,0.083642,2242091520,0.0364619,101951.0938,101858.6094,302.2131348,-0.7978811,21.37,10.176190476190476
-96.7117,28.4083,0.0816066,2091481088,0.0364633,101954.6172,101877.7422,302.2729492,-0.8024248,25.04,11.923809523809522
-96.70620893,28.38055979,0.0816066,2091481088,0.0364633,101954.6172,101877.7422,302.2729492,-0.8024248,25.04,11.923809523809522
-96.70620893,28.44055979,0.0816066,2091481088,0.0364607,101954.6172,101877.7422,302.2729492,-0.806942,25.04,11.923809523809522
-96.595,28.64,0.0785682,1636130688,0.036466,101964.1875,101874.5859,302.3007507,-0.8760392,25.11,11.957142857142857
-96.58620893,28.62055979,0.0785682,1636130688,0.036466,101964.1875,101874.5859,302.3007507,-0.8698756,25.11,11.957142857142857
-96.58620893,28.68055979,0.0776171,1464869120,0.036466,101973.4844,101849.0859,302.3114319,-0.8760392,25.11,11.957142857142857
-96.40620893,28.44055979,0.0791443,2214015488,0.0364635,101957.3281,101928.9531,302.3152771,-0.896224,25.12,11.961904761904762
-96.38833,28.45167,0.0779511,1853768448,0.0364635,101962.9141,101915.4844,302.33078,-0.896224,25.12,11.961904761904762
-96.34620893,28.44055979,0.0781884,2181565952,0.036464,101964.8594,101932.4219,302.3263245,-0.9119273,25.23,12.014285714285714
-96.3301,28.4269,0.0781884,2181565952,0.036464,101964.8594,101932.4219,302.3263245,-0.9050246,25.14,11.971428571428573
-96.28620893,28.44055979,0.0781884,2181565952,0.036464,101964.8594,101932.4219,302.3263245,-0.9119273,25.23,12.014285714285714
-95.92620893,28.68055979,0.0713213,1701896192,0.0364715,102000.0703,101923.6563,302.4823914,-1.0384204,25.72,12.247619047619049
-95.92620893,28.74055979,0.0713213,1701896192,0.0364747,102000.0703,101923.6563,302.4823914,-1.0407993,25.72,12.247619047619049
-95.9139,28.71,0.0713213,1701896192,0.0364715,102000.0703,101923.6563,302.4823914,-1.0384204,25.72,12.247619047619049
-95.62620893,28.74055979,0.0689129,2649289472,0.0364772,101982.3672,101931.9375,302.5252991,-1.1390055,26.2,12.476190476190473
-95.62620893,28.80055979,0.0695774,2444784128,0.0364772,101997.0156,101919.4609,302.5512085,-1.1390055,25.83,12.299999999999999
-95.6168,28.77164,0.0695774,2444784128,0.0364772,101997.0156,101919.4609,302.5512085,-1.1390055,25.83,12.299999999999999
-95.32620893,28.92055979,0.0706466,2938890752,0.0364939,102001.1484,101935.0313,302.571106,-1.1620413,29.0,13.809523809523808
-95.295,28.935,0.0706466,2938890752,0.0364939,102001.1484,101935.0313,302.571106,-1.1663089,29.0,13.809523809523808
-95.2942,28.93569,0.0706466,2938890752,0.0364939,102001.1484,101935.0313,302.571106,-1.1663089,29.0,13.809523809523808
-95.26620893,28.92055979,0.0706466,2938890752,0.0364939,102001.1484,101935.0313,302.571106,-1.1729845,29.0,13.809523809523808
-95.26620893,29.70055979,0.0716746,1494842112,0.036518,102039.9922,101766.3125,302.5054321,-1.1756574,25.89,12.328571428571427
-95.26620893,29.76055979,0.0711263,1382239616,0.0365204,102041.7422,101721.7656,302.5033569,-1.177408,25.89,12.328571428571427
-95.2658,29.72628,0.0716746,1494842112,0.0365204,102039.9922,101766.3125,302.5054321,-1.1756574,25.89,12.328571428571427
-95.14620893,29.10055979,0.0725755,2760927744,0.0365037,102009.4531,101935.4375,302.5687561,-1.1145496,28.86,13.74285714285714
-95.1133,29.095,0.0725755,2760927744,0.0365037,102009.4531,101935.4375,302.5687561,-1.1145496,28.86,13.74285714285714
-95.08620893,29.10055979,0.0725755,2760927744,0.0365037,102009.4531,101935.4375,302.5687561,-1.1145496,28.86,13.74285714285714
-95.02620893,29.70055979,0.0722837,1566001664,0.0365239,102038.2578,101864.4688,302.5028076,-1.185046,25.83,12.299999999999999
-94.985,29.6817,0.0722837,1566001664,0.0365239,102038.2578,101864.4688,302.5028076,-1.185046,25.83,12.299999999999999
-94.96620893,29.64055979,0.0730608,1731405440,0.0365239,102036.5469,101894.6016,302.5056763,-1.189393,25.83,12.299999999999999
-94.96620893,29.70055979,0.0722837,1566001664,0.0365239,102038.2578,101864.4688,302.5028076,-1.189393,25.83,12.299999999999999
-94.9183,29.48,0.0741024,1960999296,0.0365218,102023.4375,101937.7344,302.507843,-1.1853701,25.88,12.323809523809523
-94.90620893,29.28055979,0.0741916,2477361920,0.0365164,102017.9219,101962.2969,302.5497742,-1.1815295,25.94,12.352380952380953
-94.90620893,29.34055979,0.0741916,2477361920,0.0365192,102017.9219,101962.2969,302.5497742,-1.1834606,25.94,12.352380952380953
-94.90620893,29.46055979,0.0741024,1960999296,0.0365218,102023.4375,101937.7344,302.507843,-1.1853701,25.88,12.323809523809523
-94.90620893,29.52055979,0.0741024,1960999296,0.036524,102023.4375,101937.7344,302.507843,-1.1853701,25.85,12.30952380952381
-94.8971,29.30258,0.0741916,2477361920,0.0365164,102017.9219,101962.2969,302.5497742,-1.1815295,25.94,12.352380952380953
-94.7933,29.31,0.0746448,2538738432,0.036519,102012.7813,101982.8359,302.5207214,-1.1849372,25.94,12.352380952380953
-94.78620893,29.28055979,0.0746448,2538738432,0.036519,102012.7813,101982.8359,302.5207214,-1.1849372,25.94,12.352380952380953
-94.78620893,29.34055979,0.0746448,2538738432,0.0365215,102012.7813,101982.8359,302.5207214,-1.187034,25.94,12.352380952380953
-94.72620893,29.34055979,0.074925,2584998400,0.0365233,102006.3438,101991.6094,302.5166626,-1.1904498,25.91,12.338095238095239
-94.72620893,29.40055979,0.0754263,2261540096,0.0365233,102009.1484,101987.6328,302.4789429,-1.1904498,25.91,12.338095238095239
-94.7248,29.35733,0.0754263,2261540096,0.0365233,102009.1484,101987.6328,302.4789429,-1.1904498,25.91,12.338095238095239
-94.54620893,29.52055979,0.0770901,2004044032,0.0365303,102013.1016,101991.2031,302.5214233,-1.1268768,25.22,12.009523809523808
-94.5133,29.515,0.0770901,2004044032,0.0365286,102013.1016,101991.2031,302.5214233,-1.1268768,25.21,12.004761904761903
-94.48620893,29.52055979,0.0770901,2004044032,0.0365303,102013.1016,101991.2031,302.5214233,-1.1268768,25.21,12.004761904761903
-94.42620893,29.58055979,0.0714163,1722422656,0.0365312,102014.8594,101982.2813,302.5623169,-1.1546097,25.24,12.019047619047617
-94.3903,29.59472,0.0714163,1722422656,0.0365312,102014.8594,101982.2813,302.5623169,-1.1546097,25.24,12.019047619047617
-94.36620893,29.58055979,0.0714163,1722422656,0.0365312,102014.8594,101982.2813,302.5623169,-1.1424894,25.24,12.019047619047617
-93.88620893,29.70055979,0.0538071,1368299392,0.0365347,102026.3281,101988.4922,302.6536255,-1.1344166,24.73,11.776190476190477
-93.88620893,29.76055979,0.0535682,1279738112,0.036537,102037.3359,101975.5703,302.6190186,-1.1245279,24.66,11.742857142857142
-93.88620893,29.94055979,0.0534297,1206540672,0.0365417,102039.6328,101960.5234,302.6264648,-1.0301147,24.62,11.723809523809523
-93.88620893,30.00055979,0.0533308,1141093248,0.0365417,102045.9297,101945.2188,302.6267395,-1.0301147,24.59,11.709523809523809
-93.8817,29.98,0.0533308,1141093248,0.0365417,102045.9297,101945.2188,302.6267395,-1.0301147,24.59,11.709523809523809
-93.8701,29.7284,0.0538071,1368299392,0.036537,102026.3281,101988.4922,302.6536255,-1.1344166,24.68,11.75238095238095
-93.84192,29.68939,0.0505578,1379277824,0.0365338,102025.0625,101992.6172,302.6344299,-1.121328,24.03,11.442857142857141
-93.82620893,29.70055979,0.0505578,1379277824,0.0365338,102025.0625,101992.6172,302.6344299,-1.121328,24.03,11.442857142857141
-93.34620893,29.76055979,0.0427192,1311648256,0.0365394,102044.9297,102015.2266,302.740509,-1.1498638,23.55,11.214285714285714
-93.34620893,30.18055979,0.0452172,1646129280,0.0365521,102054.3594,101927.6484,302.7281799,-1.1250452,23.44,11.16190476190476
