random state,n_estimators,max_depth,bootstrapping
42,60,9,[ True]
60,100,10,[ True]
42,50,7,[ True]
60,200,10,[False]
42,60,9,[ True]
60,100,10,[ True]
10,300,7,[ True]
10,400,9,[ True]
42,50,7,[ True]
42,200,9,[ True]
42,200,9,[ True]
42,60,9,[ True]
42,50,7,[ True]
10,50,10,[ True]
60,100,10,[ True]
42,60,9,[ True]
10,400,9,[ True]
42,60,9,[ True]
42,60,9,[ True]
10,400,10,[ True]
60,60,10,[False]
10,400,10,[ True]
60,100,10,[ True]
42,60,9,[ True]
42,60,9,[ True]
42,60,9,[ True]
42,50,7,[ True]
60,100,10,[ True]
60,60,10,[False]
42,100,9,[ True]
60,100,10,[ True]
42,75,10,[False]
10,50,10,[ True]
60,200,10,[False]
42,60,9,[ True]
42,400,8,[ True]
50,200,10,[False]
42,100,9,[ True]
10,50,9,[False]
42,60,9,[ True]
42,100,9,[False]
10,50,10,[ True]
10,50,9,[False]
42,60,9,[ True]
10,50,10,[ True]
10,400,10,[ True]
42,60,10,[False]
60,100,10,[ True]
60,75,8,[False]
42,50,7,[ True]
10,50,10,[ True]
42,60,9,[ True]
60,100,10,[ True]
42,60,10,[False]
10,400,10,[ True]
10,400,10,[ True]
42,60,9,[ True]
10,400,10,[ True]
60,200,10,[False]
42,50,7,[ True]
42,60,9,[ True]
42,200,8,[ True]
42,100,9,[ True]
42,50,7,[ True]
42,200,8,[ True]
10,50,10,[ True]
60,100,10,[ True]
42,300,10,[False]
42,60,9,[ True]
60,100,10,[ True]
42,60,9,[ True]
42,60,9,[ True]
42,75,10,[False]
10,50,10,[ True]
42,60,9,[ True]
42,60,7,[ True]
42,60,9,[ True]
42,60,9,[ True]
42,400,8,[ True]
60,100,10,[ True]
42,60,9,[ True]
42,50,7,[ True]
10,50,10,[ True]
10,400,10,[ True]
42,75,10,[False]
42,60,9,[ True]
60,100,10,[ True]
10,400,10,[ True]
10,400,10,[ True]
42,200,9,[ True]
42,400,8,[ True]
10,50,10,[ True]
60,100,10,[ True]
10,400,10,[ True]
42,300,10,[False]
42,60,9,[ True]
60,200,10,[False]
42,50,7,[ True]
42,100,9,[ True]
42,200,9,[ True]
