random state,n_estimators,max_depth,bootstrapping
60,100,10,[ True]
42,200,9,[ True]
60,100,8,[False]
50,200,10,[False]
50,100,9,[False]
42,200,9,[ True]
10,50,9,[False]
50,50,9,[False]
10,400,10,[ True]
60,60,10,[False]
42,50,7,[ True]
50,50,9,[False]
50,50,9,[False]
60,100,8,[False]
50,200,10,[False]
42,300,10,[False]
42,200,9,[ True]
10,400,10,[ True]
60,60,10,[False]
42,60,9,[ True]
42,100,9,[ True]
10,50,9,[False]
10,50,9,[False]
10,50,8,[False]
10,75,9,[ True]
42,400,8,[ True]
60,200,10,[False]
42,100,9,[False]
50,50,9,[False]
42,75,10,[False]
42,200,9,[ True]
42,200,9,[ True]
10,50,9,[False]
42,60,9,[ True]
42,100,9,[ True]
10,75,9,[ True]
60,60,10,[False]
50,200,10,[False]
60,100,10,[ True]
42,400,8,[ True]
42,60,10,[False]
42,60,10,[False]
60,50,8,[False]
60,60,10,[False]
10,75,9,[ True]
50,100,9,[False]
10,50,10,[ True]
60,60,10,[False]
50,75,7,[False]
50,50,9,[False]
50,100,7,[ True]
50,50,9,[False]
42,200,9,[ True]
42,60,9,[ True]
10,75,9,[ True]
10,75,9,[ True]
42,200,9,[ True]
42,200,9,[ True]
60,100,10,[ True]
60,60,10,[False]
42,60,9,[ True]
10,400,10,[ True]
50,200,10,[False]
50,50,9,[False]
10,50,8,[False]
42,100,9,[False]
42,60,9,[ True]
50,100,7,[ True]
42,60,8,[False]
50,400,10,[False]
42,60,10,[False]
50,50,9,[False]
42,100,9,[False]
60,300,10,[False]
10,400,10,[ True]
42,200,9,[ True]
42,60,10,[False]
42,60,10,[False]
60,60,10,[False]
60,100,10,[ True]
50,50,9,[False]
42,200,9,[ True]
42,300,10,[False]
50,50,9,[False]
42,60,10,[False]
42,200,9,[ True]
42,60,10,[False]
42,400,8,[ True]
42,60,10,[False]
42,200,9,[ True]
10,50,9,[False]
10,400,7,[False]
42,100,9,[ True]
50,100,9,[False]
10,50,10,[ True]
10,400,10,[ True]
60,100,10,[ True]
50,100,7,[ True]
10,400,10,[ True]
42,200,9,[ True]
