X,Y,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK,SLR_predicted,mm/year
-97.63888937,27.25773194,0.104771,1985612416,0.0364637,101886.4063,101823.0078,301.9348145,-0.5768176,3.5,1.6666666666666665
-97.56587116,27.31670067,0.104771,1985612416,0.0364637,101886.4063,101823.0078,301.9348145,-0.6039597,3.5,1.6666666666666665
-97.54125458,27.23300458,0.1063972,2163914240,0.0364624,101879.4375,101847.2813,301.8553467,-0.6021642,3.44,1.6380952380952378
-97.53698075,27.28947727,0.1048413,2119952000,0.0364624,101880.2031,101842.3516,301.8625183,-0.6039597,3.44,1.6380952380952378
-97.48932461,27.37106728,0.1032507,2071928448,0.0364624,101883.5781,101832.4688,301.8500671,-0.5918113,3.34,1.5904761904761906
-97.43258852,27.2688886,0.1049183,2273046784,0.0364609,101880.1719,101871.2266,301.8710632,-0.6239147,3.54,1.685714285714286
-97.42189352,26.55633833,0.1121381,2336580864,0.0364705,101865.9063,101862.1719,301.6395569,-0.5906218,3.35,1.5952380952380953
-97.40832061,27.32189539,0.1049183,2273046784,0.0364608,101880.1719,101871.2266,301.8710632,-0.6239147,3.48,1.657142857142857
-97.39328006,27.29395389,0.1049183,2273046784,0.0364609,101880.1719,101871.2266,301.8710632,-0.6239147,3.54,1.685714285714286
-97.37782444,27.85815809,0.0949885,1810675712,0.0364595,101916.4297,101786.9766,301.8496704,-0.6230326,3.52,1.676190476190476
-97.37040721,27.0571548,0.1081983,2375963136,0.0364621,101871.2344,101874.9531,301.8106995,-0.6198821,3.54,1.685714285714286
-97.36671528,27.76071598,0.0965059,1873233024,0.0364595,101904.7734,101814.5625,301.8450928,-0.64,3.36,1.5999999999999999
-97.3587426,26.89082445,0.1091212,2407550208,0.0364654,101865.8594,101876.8203,301.7402039,-0.595429,3.44,1.6380952380952378
-97.35073645,27.20130063,0.1065899,2332407040,0.0364619,101879.5703,101873.7578,301.8602295,-0.6415898,3.6,1.7142857142857144
-97.32374875,26.74359608,0.1124442,2530262784,0.0364654,101870.0469,101871.4375,301.6825867,-0.5920088,3.58,1.7047619047619047
-97.30864728,27.36945178,0.1031675,2358770688,0.0364587,101890.4609,101876.2188,301.8816223,-0.6464669,3.67,1.7476190476190472
-97.28987694,27.71319153,0.0977499,2206372864,0.0364582,101914.3594,101857.0703,301.8989258,-0.6551204,3.63,1.7285714285714286
-97.28560083,26.60655162,0.1132293,2481362176,0.0364684,101864.2031,101865.4688,301.6600037,-0.5854832,3.63,1.7285714285714286
-97.28097459,27.85388309,0.094515,1958805760,0.0364584,101916.6875,101830.9219,301.878479,-0.6429886,4.26,2.0285714285714285
-97.2475206,27.63515425,0.0991784,2373834752,0.0364566,101909.0313,101873.2266,301.9041138,-0.6761982,3.66,1.7428571428571427
-97.22970962,26.4709389,0.1148878,2598745856,0.0364669,101874.3125,101849.6094,301.6804199,-0.5983308,3.51,1.6714285714285713
-97.22091603,27.56135637,0.0991784,2373834752,0.0364567,101909.0313,101873.2266,301.9041138,-0.6728974,3.63,1.7285714285714286
-97.21537126,26.06147023,0.1136482,2985731840,0.0364671,101860.75,101825.2031,301.6351929,-0.6376952,3.99,1.9
-97.19877071,26.35005587,0.1152176,2662045440,0.0364674,101868.125,101842.7969,301.6596069,-0.5950993,3.51,1.6714285714285713
-97.19302845,27.80647854,0.0956413,2201434112,0.0364569,101920.1172,101862.6328,301.8916321,-0.6691254,3.63,1.7285714285714286
-97.17734845,26.25359238,0.1149098,2787458560,0.0364676,101865.9922,101838.8047,301.6569214,-0.591951,3.56,1.6952380952380952
-97.16617072,26.16698696,0.1143465,2900815104,0.0364679,101862.0234,101833.0391,301.6443481,-0.6043239,3.76,1.7904761904761903
-97.15540792,26.06754396,0.1136482,2985731840,0.0364671,101860.75,101825.2031,301.6351929,-0.6011583,3.86,1.838095238095238
-97.14622,25.958594,0.1127627,3342928640,0.0364658,101860.7813,101796.9453,301.7020264,-0.6527252,3.99,1.9
-97.13249719,27.71401109,0.0969389,2460733184,0.0364552,101911.8672,101868.9453,301.8965759,-0.6590856,3.63,1.7285714285714286
-97.06560094,27.84141992,0.0951344,2413175552,0.0364561,101919.1797,101863.5781,301.9150696,-0.7075098,4.1,1.952380952380952
-97.0235728,27.83255668,0.0945702,2804381696,0.0364547,101914.4531,101867.3125,301.9426575,-0.6868448,4.36,2.076190476190476
-96.92188606,27.9822494,0.0888939,2797305856,0.036454,101931.2422,101852.375,302.035675,-0.7504996,5.33,2.538095238095238
-96.83456807,28.41372501,0.0822957,2018526592,0.0364638,101952.3125,101848.0,302.2555542,-0.7844841,9.05,4.309523809523809
-96.79357528,28.09844015,0.0866974,2726563328,0.0364549,101931.0078,101871.9844,302.121582,-0.7717338,5.21,2.4809523809523806
-96.77484309,28.22158583,0.0851098,2481277952,0.0364619,101943.6719,101865.9375,302.1768188,-0.7759944,4.8,2.2857142857142856
-96.71601642,28.40172249,0.0816066,2091481088,0.0364633,101954.6172,101877.7422,302.2729492,-0.8024248,9.13,4.347619047619048
-96.69459267,28.32134988,0.0829694,2352208640,0.0364633,101949.3203,101890.3828,302.2566833,-0.7978811,9.05,4.309523809523809
-96.64860076,28.20569459,0.0837524,2791355136,0.036455,101945.4375,101923.2969,302.2468567,-0.8458853,11.68,5.561904761904762
-96.60168493,28.63965528,0.0785682,1636130688,0.036466,101964.1875,101874.5859,302.3007507,-0.8760392,8.94,4.257142857142856
-96.51795705,28.58594306,0.0777668,1634075520,0.0364642,101972.3906,101880.4766,302.3206787,-0.8865813,8.94,4.257142857142856
-96.51429103,28.27469191,0.0814232,2546896128,0.0364581,101952.0625,101934.9688,302.2894592,-0.8675361,9.2,4.3809523809523805
-96.50462606,28.37561169,0.0800321,2195380224,0.0364596,101960.6875,101922.0703,302.3041382,-0.8738047,9.13,4.347619047619048
-96.38309821,28.4468651,0.0791443,2214015488,0.0364635,101957.3281,101928.9531,302.3152771,-0.896224,9.13,4.347619047619048
-96.32950003,28.42700575,0.0781884,2181565952,0.036464,101964.8594,101932.4219,302.3263245,-0.9050246,9.13,4.347619047619048
-96.2796656,28.66200418,0.0751665,1413866240,0.0364678,101981.7813,101889.6172,302.387085,-0.9261587,8.98,4.276190476190476
-96.16758652,28.51049978,0.0759835,1697602304,0.0364645,101987.4766,101937.0469,302.4076843,-0.9271812,8.98,4.276190476190476
-96.1330247,28.60057448,0.0739745,1375719808,0.0364681,101992.4766,101933.5781,302.4513855,-1.013265,9.0,4.285714285714286
-96.02927749,28.57198211,0.072879,1405447552,0.0364681,101992.9063,101937.5078,302.4607239,-1.0250129,9.0,4.285714285714286
-95.87763748,28.63050333,0.0717274,1709674880,0.0364715,101993.3516,101941.9297,302.4658508,-1.0361918,9.05,4.309523809523809
-95.72933021,28.69630072,0.0696974,2314555904,0.0364729,101988.6016,101932.6406,302.4720764,-1.058956,9.41,4.480952380952381
-95.6061645,28.75504492,0.0695774,2444784128,0.0364772,101997.0156,101919.4609,302.5512085,-1.1390055,9.68,4.609523809523809
-95.45611156,28.83255966,0.0693841,2710151168,0.0364832,101996.6641,101933.4141,302.5691833,-1.1463064,12.15,5.785714285714285
