X,Y,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK,SLR_predicted,mm/year
-124.71,48.13,0.0488876,4162060288,0.0342124,101951.7969,101338.1875,286.1887512,-0.9330816,0.9166666666666666,0.43650793650793646
-124.71,48.39,0.0508278,4137999104,0.0342052,101937.3438,101510.3203,285.4805603,-0.9751773,-0.275,-0.13095238095238096
-124.7,48.25,0.0502366,4144709888,0.0342096,101940.5781,101512.0156,285.6791077,-0.9612882,0.1416666666666666,0.06746031746031746
-124.69,47.93,0.0475165,4182637312,0.0342161,101959.4688,101428.5703,286.6894531,-0.874702,0.9333333333333332,0.4444444444444444
-124.69,48.04,0.0482028,4171904768,0.0342136,101956.5313,101359.5781,286.4917603,-0.9330816,0.95,0.4523809523809521
-124.69,48.34,0.0502366,4144709888,0.0342052,101940.5781,101512.0156,285.6791077,-0.9751773,-0.2333333333333333,-0.1111111111111111
-124.58,47.87,0.0482714,4180031488,0.0342065,101960.8828,101052.2188,286.4910889,-0.8716308,1.5666666666666669,0.7460317460317458
-124.58,48.37,0.0512381,4136062208,0.0341977,101939.0313,101118.6797,285.1407471,-0.9626818,0.0916666666666666,0.04365079365079365
-124.57,42.84,0.0207212,4607746560,0.0342206,102116.0938,101937.2031,287.9779053,-0.5912803,4.965656565656565,2.364598364598364
-124.52,42.75,0.0206835,4594755584,0.034202,102113.7266,101681.4219,287.7477112,-0.4551352,4.973989898989899,2.3685666185666183
-124.51,42.9,0.0201458,4594281984,0.0342016,102114.3594,101626.4375,287.9841614,-0.5817933,4.965656565656565,2.364598364598364
-124.48,47.78,0.0483561,4186862080,0.0341921,101965.4063,100822.3359,286.5350952,-0.8561947,-0.05,-0.023809523809523808
-124.47,42.97,0.0196214,4590518272,0.0342006,102110.6406,101881.2656,288.0653687,-0.5809764,4.965656565656565,2.364598364598364
-124.46,48.32,0.0510835,4146922752,0.0341902,101948.5625,100815.8438,285.0665283,-0.9535041,-0.2166666666666666,-0.10317460317460315
-124.45,42.67,0.0212799,4598471168,0.0342026,102111.3906,101392.3438,287.6055603,-0.3475205,5.057323232323232,2.408249158249158
-124.44,42.44,0.0241564,4593044992,0.0341869,102097.8516,99705.44531,287.1761475,-0.2906856,3.631026936026936,1.7290604457271121
-124.44,43.05,0.019121,4320768512,0.0341793,102117.6172,101217.4766,288.1020508,-0.5700284,3.017508417508417,1.4369087702421037
-124.43,42.32,0.0256282,4597003776,0.034188,102089.6875,100152.3516,286.7753906,-0.1950585,3.7643602693602696,1.7925525092191759
-124.43,42.33,0.0256282,4597003776,0.034188,102089.6875,100152.3516,286.7753906,-0.1950585,3.7643602693602696,1.7925525092191759
-124.43,42.34,0.0256282,4597003776,0.034188,102089.6875,100152.3516,286.7753906,-0.2653466,3.881026936026936,1.8481080647747312
-124.43,42.39,0.0241564,4593044992,0.034188,102097.8516,99705.44531,287.1761475,-0.2653466,3.631026936026936,1.7290604457271121
