X,Y,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK,SLR_predicted,mm/year
-79.91484429,32.77175324,0.3794335,593322176,0.0364693,102049.4141,101953.8906,300.996521,-0.6883202,20.0,9.523809523809524
-79.908937,32.751634,0.3794335,593322176,0.0364693,102049.4141,101953.8906,300.996521,-0.6883202,20.0,9.523809523809524
-79.85867607,32.74493122,0.3820662,732503296,0.0364693,102029.9063,101963.5938,301.009491,-0.6893832,20.0,9.523809523809524
-79.813984,32.774819,0.3775953,784209088,0.0364605,102047.6563,101973.0,300.9474487,-0.6893832,20.0,9.523809523809524
-79.719879,32.825796,0.375632,991006016,0.0364502,102051.1797,101982.6484,300.8981628,-0.7040582,20.0,9.523809523809524
-79.657848,32.874845,0.3722142,805200960,0.0364502,102052.7734,101975.7891,300.8734741,-0.7179319,20.0,9.523809523809524
-79.579989,32.933452,0.3700187,997645312,0.0364406,102056.2813,101998.5391,300.82547,-0.7179319,20.0,9.523809523809524
-79.501976,33.017272,0.363909,958185344,0.0364237,102063.0234,102000.4063,300.7522888,-0.7195377,20.0,9.523809523809524
-79.404422,33.019617,0.3614099,1153447424,0.036414,102059.5156,102003.5078,300.7105713,-0.7195542,20.0,9.523809523809524
-79.328159,33.090406,0.3543773,1090837504,0.0364047,102073.4453,102020.3125,300.7068481,-0.7477926,19.984615384615385,9.516483516483516
-79.235881,33.138288,0.3514869,1291433472,0.0363943,102066.8125,102025.9375,300.7017212,-0.7614405,19.984615384615385,9.516483516483516
-79.17978,33.233612,0.3468026,984333760,0.0363942,102069.1172,102016.1875,300.6699524,-0.7614405,19.984615384615385,9.516483516483516
-79.161453,33.310928,0.3432887,685370240,0.0363942,102064.9141,101993.1719,300.5765381,-0.7910466,19.984615384615385,9.516483516483516
-79.128167,33.416597,0.3358818,511320992,0.0363839,102058.0,102002.9375,300.5167236,-0.7906196,19.976923076923075,9.512820512820511
-79.045657,33.516804,0.3291017,192529792,0.0363758,102063.3594,102002.1875,300.5179138,-0.7879554,19.976923076923075,9.512820512820511
-78.991354,33.583487,0.3279606,133224136,0.0363758,102074.1406,101980.7422,300.4839172,-0.7864158,19.976923076923075,9.512820512820511
